Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Early-demographic dividend,,,,85839429009,1.00398E+11,1.0139E+11,,1.1109E+11,1.06271E+11,1.05653E+11,1.4903E+11,1.58338E+11,,
East Asia & Pacific,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),,,13095108355,16339968510,20685262241,22686733079,25154877368,27534633231,26879479143,26034415440,26624456872,27440217384,29203693632,13885335218
Europe & Central Asia,6.81968E+11,7.33401E+11,6.28482E+11,6.98248E+11,7.88231E+11,7.70156E+11,7.99635E+11,8.3038E+11,7.65848E+11,7.88974E+11,7.62445E+11,8.14216E+11,8.26982E+11,7.46463E+11
Ecuador,,82118802,54807593,146605389,59881533,55266062,78998915,81594903,103054633,111063506,94376522,68401030,68045527,
"Egypt, Arab Rep.",,98833693,84124958,104581857,133427057,78780353,72676207,168393197,89647033,56095793,73845751,125216606,323853847,350304530
Euro area,4.87934E+11,5.18973E+11,4.47675E+11,4.83588E+11,5.38863E+11,5.31155E+11,5.51241E+11,5.7115E+11,5.18169E+11,5.39809E+11,5.33886E+11,5.71495E+11,5.80734E+11,5.27657E+11
Eritrea,,,,,,,,,,,,,,
Spain,10508338270,11256202821,10391252620,11508341613,13572391465,13770856860,14486333371,14672762790,13112214605,15605962203,14936653565,15506803958,15069892196,15731961265
Estonia,894803112,976615336,671662055,1253040823,2547547548,2356422334,2546304376,2708974360,2053273080,2106427460,1844023020,1909128745,1735679562,2152728457
Ethiopia,,8353730,6989320,9180497,5739492,8248204,5601191,24227832,15626131,10502625,7925746,9903646,,
European Union,5.65673E+11,6.08594E+11,5.25367E+11,5.72587E+11,6.42132E+11,6.22589E+11,6.44868E+11,6.6947E+11,6.10148E+11,6.35115E+11,6.34134E+11,6.84598E+11,6.94634E+11,6.42007E+11
Fragile and conflict affected situations,,,,,,,,,,,,,,
Finland,15797675341,16915233282,8742550406,7053018058,6422505575,5473606478,4694300378,5102703824,4250977309,3966656486,4405114576,4515414673,4563213733,4425053475
Fiji,,5262584,5167974,5152322,5386999,2769706,2715493,3352286,2259048,3238852,4089667,4660337,61615525,
France,86673912452,1.0013E+11,88872522741,1.06441E+11,1.12914E+11,1.14947E+11,1.19315E+11,1.21376E+11,1.10206E+11,1.09317E+11,1.09359E+11,1.17814E+11,1.20897E+11,87649838585
Faroe Islands,135174,6442960,358803,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,
United Kingdom,69643938581,68244894936,49442450948,67432951910,76724121952,74212593263,75593926804,76895178085,75619201291,75001628651,75275694845,76926541023,78176113114,64038019258
Georgia,,,14814975,14266474,12154187,20048798,21318338,35254744,35750560,18513659,23140934,26947948,19350658,14030856
Ghana,,,,9246468,23761633,76336097,62421497,144096432,89425067,21056625,41531749,50006668,9928827,
Gibraltar,,,,,,,,,,,,,,
Guinea,,,,,,,989751,3601290,2455734,799558,,,,
"Gambia, The",,,,,22565,12712,24498,,738,,2090,6066,402,1274
Guinea-Bissau,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,
Greece,1121475103,1598377068,1368731589,1296421405,1402430844,1137984293,950028738,1337152824,1330536725,1415256394,1384000150,1754801996,1778210448,2006972041
Grenada,,,,78110,,195834,,1221587,355896,2988675,331598,1278879,796931,112035
Greenland,1700118,486704,300793,13306185,1773162,3325952,919558,257024,12776484,2115983,1743354,487975,,
Guatemala,125890881,157357031,149657695,228568349,198224980,208074792,213728660,229856419,249133981,259700353,246966678,255890380,241853800,300657592
Guam,,,,,,,,,,,,,,
Guyana,411706,70848,16213,74241,95679,41530,119766,105393,90067,161359,254735,82703,95124,1133987
High income,,,1.20163E+12,,1.38658E+12,1.37267E+12,1.39988E+12,1.43712E+12,1.35438E+12,1.35818E+12,1.65388E+12,1.78502E+12,,
"Hong Kong SAR, China",2650435083,2354314069,1999988430,2527688328,1223155020,962302375,680836568,540930248,453113874,469855937,2.93614E+11,3.30094E+11,3.22039E+11,3.40139E+11
Honduras,9813708,,15498509,19523512,12063500,39629273,,44610834,18698692,37769500,45740961,29002647,12634974,
Heavily indebted poor countries (HIPC),,,,,,,,815928180,665751940,708011208,595087626,593392558,,
Croatia,803505740,936982483,792991353,817139880,776016219,913351649,999788842,915592300,915710065,1336108842,923411397,1011939688,954203937,1079692875
Haiti,,,,,,,,,,,,,,
Hungary,19947348000,21676178000,18119039000,20250342000,22847603000,17580685760,17144182548,15686910823,14668166894,15922190961,16903987958,18065921731,18527224783,18080536428
IBRD only,,,5.36674E+11,6.9673E+11,7.85535E+11,8.54528E+11,9.38836E+11,9.5258E+11,9.48793E+11,8.99996E+11,1.0397E+12,1.15579E+12,1.14233E+12,
IDA & IBRD total,,,,,,,9.40147E+11,9.5401E+11,9.50884E+11,9.01941E+11,1.04171E+12,1.15779E+12,,
IDA total,,,,,,,,,,,,,,
IDA blend,,,,,,,,513619823,,566610081,608358741,551409825,712536566,
Indonesia,,,,7065519398,7291773259,7242007286,6520318705,6603091281,5900470886,5418668848,5974888118,6389604745,6285817887,6415055077
IDA only,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,
India,,,11347424854,10778725729,14546206697,13927179245,17965366385,18344917155,14615780664,14300754797,15161028362,20273090235,23643556632,21662006256
Not classified,,,,,,,,,,,,,,
Ireland,31642374025,31031561099,26463470196,23348668172,27793208823,26223319165,25029015199,25865024116,30632324601,37990080238,34827021587,36493794777,39356223019,42492086043
"Iran, Islamic Rep.",,,,,710992017,,280498131,308948526,277896224,249197112,278924957,175291017,,
Iraq,,,,,,,,,,,,,,
Iceland,774999866,417158537,246432607,142439834,157704167,111298114,94980249,119694467,111536289,136816468,167559778,143430802,305002021,146593791
