Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Caribbean small states,,,,4.370164798,,,,,,4.998296722,6.195253863,5.941554734,,
Cuba,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,
Cyprus,31.29565411,32.01723917,32.52942908,38.20152023,30.3585435,16.59149708,13.08339834,14.52826214,12.71082453,13.34768864,13.34996243,19.87383673,19.87421432,
Czech Republic,15.2365112,15.77567409,17.42748372,17.86505746,18.70501251,18.58275886,17.33810859,17.38660688,17.76992611,16.97265977,17.88264612,19.60878881,20.804636,
Germany,15.4914459,15.11269816,16.84564932,16.97450795,16.41513595,17.33249078,17.36616268,17.26047692,17.85405921,18.17252869,15.84895846,15.77146205,16.42632709,15.50305849
Djibouti,,,0.923621421,,,,,,,,,,,
Dominica,,,,0.837412395,,9.006074095,,,,,,,,
Denmark,18.31589229,16.92094451,18.92987261,15.46830164,15.27512411,15.82761556,15.83569656,15.71848209,17.18957243,14.89148073,12.50932317,12.37370797,12.04440921,13.26612218
Dominican Republic,10.64440659,3.739126646,2.506950425,2.349489881,2.38651253,3.200658343,4.454537827,4.304970425,4.260574818,4.76560352,8.575012506,6.997050165,,
Algeria,1.203712831,1.041776055,1.176831871,1.168677212,0.541468119,0.343094834,0.569126975,0.328391618,0.233281062,0.48961408,0.960299341,,,
East Asia & Pacific (excluding high income),29.7152629,28.0724465,32.56867663,30.703915,29.07292924,29.66243906,30.3757652,29.16084861,29.86488023,29.85449578,31.56890117,32.1227451,31.68634888,
Early-demographic dividend,,,8.757068446,8.601475716,8.083870156,8.040703837,7.89630988,8.22479093,8.629175351,8.882020221,10.66922598,10.8950383,11.84603293,
East Asia & Pacific,29.31612839,28.89670957,32.10978362,30.66506893,27.63834594,27.73778011,28.20967552,27.23067252,28.18557102,28.07436913,33.9035181,34.72926474,34.20257021,
Europe & Central Asia (excluding high income),5.64720134,5.472153462,8.888162999,9.606004702,8.097938331,8.917698354,10.55560263,11.1612166,12.46205591,11.18495234,9.433223821,9.023090478,10.54911461,
Europe & Central Asia,15.77327115,15.38432584,17.03055639,17.48911845,16.65550957,16.64931871,17.36895487,16.93538548,17.75824983,18.00516218,15.82779368,15.37952087,16.15024131,
Ecuador,,5.592018826,4.605033611,8.769558303,3.576748358,2.933206015,5.277751278,5.637215391,7.688544157,9.192153676,8.053772393,5.289314901,5.527952825,
"Egypt, Arab Rep.",,1.044755044,0.837069314,0.95301989,0.991983719,0.616318566,0.53483765,1.252666005,0.794362785,0.504375413,0.56523257,0.865008479,2.340478517,
Euro area,15.77778922,15.50476592,17.04123138,17.4626177,16.71736543,16.56121878,17.30679511,16.67271543,17.38122367,17.80017462,16.22625911,15.7982565,16.47394787,
Eritrea,,,,,,,,,,,,,,
Spain,5.490019487,5.586221639,6.395681897,,,7.225537525,,6.914876033,6.888794662,7.804606565,7.002581693,6.776586705,6.860932302,7.771266105
Estonia,11.85108871,10.81081118,10.36109982,15.7345931,22.22682684,20.56775059,20.67587967,23.65193178,22.71316488,21.89272502,17.93921238,,,
Ethiopia,,6.068792267,5.43459777,4.909817183,2.239753308,3.448878167,1.851465453,9.129798841,6.194386046,6.825015141,5.83079826,13.64514974,,
European Union,15.59206394,15.3579326,16.92706015,17.210152,16.4856142,16.29268652,16.82969529,16.31746254,17.0106007,17.31284453,15.80203013,15.42970104,16.05547861,
Fragile and conflict affected situations,,,,,,,,,,,,,,
Finland,21.76964202,21.4923177,18.01762555,13.14800184,11.07697248,10.47575753,9.024160634,10.05239746,10.18445398,10.05228491,9.656853847,9.017583109,9.214541081,9.99874684
Fiji,,3.955300385,5.06710109,4.191650185,4.333377447,2.38863545,2.375210821,2.58623733,2.057699716,2.70766422,3.528577302,3.809490622,22.0013002,
France,20.31105108,21.73115668,24.3619292,26.59523889,25.32214926,26.86989443,27.2947157,27.62024131,28.33858302,28.05637429,26.13545185,25.96983302,26.99241184,
Faroe Islands,0.479344012,4.804597815,0.637987541,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,
United Kingdom,21.10294332,20.82902863,20.78694455,23.53732676,23.57803804,23.78812206,23.85748713,22.44936882,22.63422287,23.92718052,23.09321062,22.71719432,23.46813032,23.09862511
Georgia,,,4.120193091,2.332453643,1.50732975,2.493542178,2.538402644,4.103700089,5.728468709,3.644104155,3.231528085,3.334938863,2.567375095,
Ghana,,,,2.425957839,1.700740354,7.784491747,5.118657488,10.11930543,7.585437456,2.297897876,4.465476271,8.302212282,1.13778738,
Gibraltar,,,,,,,,,,,,,,
Guinea,,,,,,,2.496890652,5.082023907,0.959602475,0.899973973,,,,
"Gambia, The",,,,,4.043761872,0.175000964,3.421293354,,1.064950432,,0.360382108,1.741822108,0.040954839,0.886698822
Guinea-Bissau,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,
Greece,9.114508546,11.10517931,12.27124924,11.61831333,11.25013911,10.14318488,8.46757621,11.4963461,12.92549118,13.71025751,12.10901495,12.94977838,12.51486997,13.25340195
Grenada,,,,,,,,,,,,,,
Greenland,14.10481423,4.272388466,1.636444244,47.27186915,8.709056562,47.28592503,1.461120061,1.042660592,78.47655602,4.80662318,4.337200055,1.709252768,,
