"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310481.999999996","964226.000000002","1619723","7237732.00000002","18922398","47086504","22835703.9999999","21521244","14797113","11790575","","",
"Bahamas, The","BHS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0000000000218","3453.99999999972","","","","","","5691434","23404243","6222843","","",
"Bosnia and Herzegovina","BIH","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139606615","83180912","74437472","106590971","80768390","82136598","93752141","99438658","96218192","236675619","261379317","253657306","212050899",
"Belarus","BLR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417556600","323176600","407456800","514192800","635603100","795290700","693015900","577142200","625774800","687613900","716991900","756914800","801655200",
"Belize","BLZ","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265036","","","","","","9.99999999930878","6270.00000000044","","64217",
"Bermuda","BMU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830077","2667623","2564052","1028795","1280911","1136949","2939781","1569638","869523",
"Bolivia","BOL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15413394","17442781","14815977","37069953","48204672","52913603","44104414","33146949","24935819","15511283","19397572","19560045","14175219","13485139",
"Brazil","BRA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9536959527","10796083196","8464064203","8823203502","9155323216","9473970369","9071452337","8806873085","9446940765","10415967029","10749591878","11094536545","9426330603","5969585015",
"Barbados","BRB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29762994","25313813",
"Brunei Darussalam","BRN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54875547","115298511","121027394","77650222","59457618","67956830","81862668","76850710","161870645","115050.999999999","49738934","",
"Bhutan","BTN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1941520","9525","439945","394616","272","58575","","","","","","","","",
"Botswana","BWA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26072351","18361265","37475913","28756911","52657763","38519418","19399628","16238757",
"Central African Republic","CAF","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632110","1394","134458","10012","","4091308","6613251","35462285","8173212","","",
"Canada","CAN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30805025981","30538739415","26149995016","27247838004","28135169998","33776153653","32769499866","29530952353","28847379685","26796566317","27599664924","31036316910","32423076385","26040618938",
"Central Europe and the Baltics","CEB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50152434309","60997055055","54161135518","65084182319","78192567931","72234588940","76743126985","82382246952","77183851196","80536685436","90019834335","103457431912","102880507303","103154078559",
"Switzerland","CHE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36292350478","43544739726","40522692827","43641097888","51174506279","51313676663","54387922156","57114920705","54267152351","55552582293","29844323632","30136242614","29879336966","29236830495",
"Channel Islands","CHI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","655059603","693628846","466984787","556489692","560486945","574677742","728933021","761285160","612696043","733958318","623854353","680276777","676197773","",
"China","CHN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342609990249","390993679705","359273932009","474521815988","540194662418","593894382352","655996259990","653870449086","652237382663","594551851891","654187610235","731890595214","715843469845","757723684192",
"Cote d'Ivoire","CIV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186083376","197109529","70491477","177476167","96850645","166909348","243079002","188548008","126534585","137431113","78785574","141822739","",
"Cameroon","CMR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14007083","28621329","14107828","11759707","30197985","","","",
"Congo, Dem. Rep.","COD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63391662","5559881","9337454","26674780","32092118","17445949",
"Congo, Rep.","COG","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50969354","63301838","75582346","90335843","42263310","31263357","",
"Colombia","COL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","360315732","476182109","494733006","461947300","436937539","572836749","781609895","762857177","824135430","778286862","694848478","606299077","759451766","706728634",
"Comoros","COM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194926","134024","20214","2120514","28671","834198","",
"Cabo Verde","CPV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62510.9999999995","","","331","","","","12","","",
"Costa Rica","CRI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2537251576","2435412469","1795033449","2203423980","2521508758","2732195463","3074122924","2418629267","869907738","951923465","1106846239","1148831708","1154572220","",
"Caribbean small states","CSS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11931807","","66120995","","","","23765259","38272245","29598686","","",
"Cuba","CUB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96700001","123587756","109541359","143937802","112875069","55513253","56343471","68439984","55564483","56096171","54768490","95712383","92911881","55205949",
"Czech Republic","CZE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16618591678","20130962520","17057891974","20395531524","26850108584","25444035514","24688886246","26920796119","24815446357","24842643045","29543508515","36128837160","37834284166","39625097614",
"Germany","DEU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169887312000","183535525092","159207939862","180522971795","203237045896","204071158697","210129818072","216297040017","199797306303","206133813845","195752362801","210082307180","208677809287","180663902528",
"Djibouti","DJI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1331100","","","","","","","","","","","",
"Dominica","DMA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154223","","1949279","","","","","","","","",
"Denmark","DNK","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12072883508","12420438803","11257888044","9011723053","10408611696","9742795424","10204683144","10641145823","10096888703","10056851237","8937322533","9567953051","9581327558","10497046561",
"Dominican Republic","DOM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561963759","171278177","79348996","75811122","97407060","145436381","197793261","223054401","206620652","230969486","432904183","383916253","","",
"Algeria","DZA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6815093","8596814","4616076","5381398","3565016","2215525","3256008","4033112","2549728","4844795","9027398","","","",
"East Asia & Pacific (excluding high income)","EAP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85839429009","100398190158","101389630377","","111090124738","106270812604","105653146558","149030258644","158337513243","","",
"East Asia & Pacific","EAS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13095108355","16339968510","20685262241","22686733079","25154877368","27534633231","26879479143","26034415440","26624456872","27440217384","29203693632","13885335218",
"Europe & Central Asia","ECS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","681967875427","733400520093","628482416093","698247925874","788231387788","770155616898","799635397346","830380339004","765848463616","788974466891","762445402166","814215777564","826981638290","746463395318",
"Ecuador","ECU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82118802","54807593","146605389","59881533","55266062","78998915","81594903","103054633","111063506","94376522","68401030","68045527","",
"Egypt, Arab Rep.","EGY","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98833693","84124958","104581857","133427057","78780353","72676207","168393197","89647033","56095793","73845751","125216606","323853847","350304530",
"Euro area","EMU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","487933533164","518972610635","447674715545","483588139831","538863112945","531155050240","551241063667","571149532076","518169462951","539808906786","533886253344","571494574854","580733603865","527657261838",
"Eritrea","ERI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10508338270","11256202821","10391252620","11508341613","13572391465","13770856860","14486333371","14672762790","13112214605","15605962203","14936653565","15506803958","15069892196","15731961265",
"Estonia","EST","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","894803112","976615336","671662055","1253040823","2547547548","2356422334","2546304376","2708974360","2053273080","2106427460","1844023020","1909128745","1735679562","2152728457",
"Ethiopia","ETH","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8353730","6989320","9180497","5739492","8248204","5601191","24227832","15626131","10502625","7925746","9903646","","",
"European Union","EUU","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565673083675","608594020658","525366853165","572587085589","642132118379","622589124323","644868380903","669470339512","610148013873","635115095821","634133950405","684598006746","694633845404","642006705649",
"Fragile and conflict affected situations","FCS","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15797675341","16915233282","8742550406","7053018058","6422505575","5473606478","4694300378","5102703824","4250977309","3966656486","4405114576","4515414673","4563213733","4425053475",
"Fiji","FJI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5262584","5167974","5152322","5386999","2769706","2715492.99999999","3352286.00000001","2259048","3238852","4089667","4660337","61615525","",
"France","FRA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86673912452","100129958099","88872522741","106441068497","112914418716","114947402194","119314806417","121375781336","110206317007","109316534720","109359053829","117814412441","120896951796","87649838585",
"Faroe Islands","FRO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135174","6442960","358803","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69643938581","68244894936","49442450948","67432951910","76724121952","74212593263","75593926804","76895178085","75619201291","75001628651","75275694845","76926541023","78176113114","64038019258",
"Georgia","GEO","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14814975","14266474","12154187","20048798","21318338","35254744","35750560","18513659","23140934","26947948","19350658","14030856",
