"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510390863.36171","1568831168.83117","1434345506.77062","1328486401.82258","1391840132.2857","1724545403.17187","1783081344.7976","1881082348.14513","2104878097.12587","1998198332.89725","2159393245.18188","2303914531.76233","2444524287.08468","2722752388.68635","3437836535.7578","4367991087.35688","5444343626.24399","7802810227.22522","9876359204.5479","8373894148.17582","9102915079.33003","10133530952.5427","10278417926.9422","10979508121.6828","11334720299.4423","9606433610.09612","9465980642.18851","10645440262.647","11372553639.5425","13075067473.8904","11558005590.4913",
"American Samoa","ASM","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","528000000","553000000","584000000","591000000","599000000","604000000","648000000","673000000","704000000","748000000","749000000","759000000","806000000","831000000","783000000","784000000","821000000","821000000","863000000",
"Antigua and Barbuda","ATG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374592592.592593","446444444.444444","474370370.37037","538370370.37037","539111111.111111","550703703.703704","601037037.037037","622222222.222222","677925925.925926","680962962.962963","729111111.111111","761703703.703704","884370370.37037","1008370370.37037","1172296296.2963","1182518518.51852","906148148.148148","984592592.592592","1009703703.7037","1104740740.74074","1087851851.85185","1115158037.03704","1107565814.81481","1141769481.48148","1105458481.48148","1099228000","1082385888.88889","1088446037.03704",
"Australia","AUS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","12805465337.6638","13654384589.5397","14162840183.6712","15097995296.2258","16370254227.7971","17904580580.1322","19280994512.2634","20959793929.8914","23047373726.0611","25025198790.4581","27841863590.5477","30954194198.6785","35969626168.2243","44144778987.8283","60565954310.9801","70850744230.5066","77554519097.4411","81994723560.4496","89843221294.8342","100039759173.009","109898607242.34","130846394984.326","143510978704.623","138047730463.266","145707299402.282","134105238935.338","137587437045.327","143651402858.655","173517898719.441","215588307141.112","225513659099.654","245826073306.648","253921402753.211","240982293423.271","245619508820.477","279440154440.154","303418057663.126","325845202692.127","300416468832.666","296725153528.011","315291716385.103","289949017924.225","298713897028.045","355822947000.582","464301465357.803","522907081641.858","555557053009.883","632839758184.816","779981199641.898","671287733765.278","850492380868.493","1013407275953.86","1120258816250.77","1157331486611.26","1079253649132.47","1015654380564.11","927512738389.868","1000313749151.52","1072642430819.32","1033083965097.98","979981230727.98",
"Austria","AUT","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","10651480285.7899","12422926533.7592","15172431097.0891","20296424204.0902","24362060512.3675","29410477206.289","31918580194.8301","38658675380.9008","45784318203.3545","54189755018.0134","60713814082.1102","53576120615.1719","54166552391.7077","55688392829.784","51780268894.8491","52919495211.4924","74951989184.3173","93792272529.3862","99719460604.0343","98675790951.6381","122942460365.485","127819047731.291","145479171049.336","143401786348.042","152935339115.769","179641367544.698","178113244086.301","158237535235.089","161200500222.321","159578414660.132","143833922977.704","144228975391.499","154439855072.464","191202832957.111","218917792401.291","231154246984.206","243510048927.362","275040131398.85","305928079683.609","296790900250.069","289978933602.549","315909043354.915","300192651688.093","316439427074.966","323538059575.553","276605912667.926","284465107659.092","299679291012.2","324125929504.185","316061249547.686","309018884306.009",
"Azerbaijan","AZE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364000000","1504560000","1206264968.15287","2348249688.45587","3166802278.27502","3450257182.28579","4231196691.65159","4186893203.8835","4195127402.77157","4288950928.80919","4695947335.93911","5264840647.5919","5964485600.89549","6959699598.05373","9577233042.31027","14232024239.5991","20484177215.1899","23864269718.8355","26583727884.3758","31251994428.2639","34839867617.1079","38703632887.1893","42380211653.7039","36673531134.1011","27090618537.319","28167731815.0128","30438294117.6471","33062058823.5294","32589705882.3529",
"Burundi","BDI","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","185499996","192499998","204750008","234499994","241499996","153302518.518519","157914285.714286","168016000","173822857.142857","179073142.857143","233997714.285714","248109714.285714","247196571.428571","295224052.18304","351230476.190476","434231111.111111","420781449.275362","484565555.555556","576552222.222222","732755555.555556","925216666.666667","929201111.111111","1035898888.88889","1005771920.38731","924731434.299557","1102818748.03215","1189088039.76526","1056578768.20978","1064298996.40301","1077552518.79723","1192841084.93183","1216172324.84726","1192310456.40245","997193202.635914","1028965790.79644","1080347659.33424","884009691.494632","958376614.162055","935500210.154505","828305770.459224","932592161.599623","930606970.915879","894344321.112497","837576963.385121","982286417.509152","1167383132.70657","1391633734.60994","1492003057.29978","1818006094.00022","1846035358.10067","2091872318.65362","2438257395.50588","2519406302.47813","2789460589.69676","3014243285.34021","3037202852.11836","2761154513.08088","2786136458.93842","2778569957.08847","2767506084.27587","3000821090.82857",
"Belgium","BEL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","18152097620.0081","20689251706.2742","25989861607.552","33667450838.3358","39369751449.8757","48424846989.1412","52419752351.0972","62233075970.7372","76598679390.2908","89710228398.459","98382243068.0094","84167500000","74446120430.867","70636818145.9566","66551468165.317","69106889054.963","94937381253.3863","117436121015.667","123257436094.35","122619349918.1","152792475857.074","159255483756.645","176330316185.696","168441403917.91","182235987460.815","214173097974.822","209951791530.945","186537550744.249","191341409202.045","189371830385.681","173261654689.515","174376107382.55","189461415396.198","233839954853.273","266963744723.119","278699664220.868","293647848450.634","335160416096.359","378124798593.819","363727841066.963","361535030835.72","395078507558.124","378323937734.403","400485723695.481","406595996515.534","346399817766.422","354680907949.859","373657610578.36","406564968163.785","398147378469.019","388435996778.522",
"Benin","BEN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","213906329.69419","222187328.065185","227419484.772088","246771978.528784","264125062.442047","286605624.561078","304655655.116608","307083356.199103","317731952.091716","320799630.790204","325928846.311782","334272715.91555","406442394.801204","490315140.437491","537719935.672216","674045197.932556","708081743.708425","756432224.55905","947013930.945302","1191963465.86336","1494471312.42202","1450594198.6851","1200723742.05851","1100736544.58808","1036126195.79926","1088126870.89745","1369172271.39359","1605474296.64141","1663119884.2229","1494668294.524","1828593079.60486","1884368723.70013","1638375444.9581","2147066590.36186","1437376833.08517","1901515300.05906","2029828328.04616","1946531713.50083","2142131843.1438","3315010760.49928","3172537350.88875","3327730669.27982","3753160650.68388","4769604354.32199","5426222865.22117","5913687232.29445","6385944941.25096","7241960988.32991","8784834749.77579","8762912071.69822","8551169824.1067","9522954867.34603","9767290380.12066","10664852991.1747","11045953244.0331","9860273401.2199","9870745399.63848","10555708290.1638","11532613719.1646","11339278596.5787","12435849105.2597",
"Burkina Faso","BFA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","315786758.381387","331867484.356404","358721158.26898","371707393.464274","378682699.308485","386076149.642803","398975005.535692","425164842.892851","432533789.348805","450435115.9368","428139408.349617","444753337.582371","520904996.516254","594598509.932289","618140526.13015","857887305.897125","856232356.492244","1073247407.9055","1387619177.69489","1691370478.59738","1917941905.41822","1781258671.15149","1706996189.36095","1542516456.46686","1394853465.34336","1523792850.95812","2033126935.75247","2310580747.90225","2546542361.84741","2471390911.77251","2933081943.75476","2873442639.29737","3067299404.06163","2951975312.06452","1585596573.84024","2106849520.904","2382429900.82736","2163729063.06207","2556640929.14031","3431946846.27262","3053348723.05015","3191140166.33313","3627063124.64575","4573328765.57129","5353540215.95258","5957345098.15301","6355437316.81602","7231591289.95723","8917874462.78027","8763443540.77688","8699439014.75825","10024561186.6009","10474561510.6502","11585218524.5746","11948789738.6023","10349257296.498","10942456500.5798","11892471059.0612","13140878554.4602","13140485661.9862","",
"Bangladesh","BGD","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","3950698947.20869","4489417884.13917","4475248176.36879","4884175826.7891","4961540719.54879","5447549471.0734","6011489782.00185","6715423337.36849","6669514464.19242","7709545047.87287","8349716501.60606","8419996582.14722","6499539250","7812086852.58964","12421446497.6149","19265059553.8531","10418476781.1448","9054464725.27472","13066123055.5556","15329624763.4691","17766087086.5633","17244859241.1261","15787175648.7026","15487373737.3737","17638560000","19044846153.8462","18461933333.3333","20872387096.7742","22916762260.1539","24382929507.9723","26572217612.567","26445994397.7591","27312625994.695","29087275132.2751","29343665835.4115","32959477611.9403","38813105134.4743","39975222482.4356","40669581497.7974","41668760399.3344","42685807990.4592","42852075611.5641","43320163677.5205","48015474956.8221","51313402412.0944","54821235772.3577","56423504484.8124","63094504216.6232","74047774694.6509","81641583084.311","91289473949.6381","102110115363.168","105052641755.659","116938413682.408","134695157648.24","151852227932.064","166110657512.928","186461015038.402","211462727677.886","226857580460.126","246253064776.913",
"Bulgaria","BGR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","13695692307.6923","12596857142.8571","12534400000","11001222222.2222","11421166666.6667","11701631578.9474","13680411764.7059","19370923076.9231","14867294117.6471","15090388888.8889","16097272727.2727","8004354838.70968","8896391752.57732","10000797101.4493","8846439114.39114","13830267857.1429","10778268690.2754","8779392353.88549","11190939559.1911","11546660499.5375","11426100880.7046","12476891564.0591","14343630235.9172","18629961332.0252","22944990159.355","25961009465.7264","29234997755.4031","37836268019.5941","45073013237.6038","41471433852.2784","40887934885.6099","45272642019.1966","44200796320.6307","44402709690.5537","45424922669.9227","39664541487.1911","41079737556.5611","44921447421.4924","50599224502.1123","52219866628.506","54647307580.2599",
"Bahrain","BHR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","1382860705.7575","1639095744.68085","1878190957.44681","1957712765.95745","2139361968.08511","1914361702.12766","1815425531.91489","2020744680.85106","2293882978.7234","2486170212.76596","2648670212.76596","3786968085.10638","3940691489.3617","4084840425.53191","4073138297.87234","4321276595.74468","4508244680.85106","4633776595.74468","4814627659.57447","5044148936.17021","5516835106.38298","5753324468.08511","6021728723.40425","6670319148.93617","8285531914.89362","8589601063.82979","8778377659.57447","9498803191.48936","11770345744.6809","12590292553.1915","13913776595.7447","15227154255.3191","16434680851.0638","18327101063.8298","18904707446.8085","19619707446.8085","20006622340.4255","20781941489.3617","21562925531.9149","21390824468.0851","",
"Bahamas, The","BHS","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","506100000","611900000","894800000","990900000","1086200100","1141100000","1232300000","1599600000","1747700000","1870800000","2054100000","","2329790000","2396180000","2491670000","2435600000","2459830000","2613740000","2810110000","3030110000","4394100000","4787200000","5163200000","5374500000","5838100000","5886400000","5998700000","6203600000","6804800000","7297100000","7487300000","7625000000","7313200000","7491000000","7726900000","8217700000","8065000000","8475800000","8941900000","9034500000","9844700000","10014300000","9842500000","7999900000",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6985425212.22864","7221122261.17547","8144396709.81246","10248016278.3984","11784966762.2331","12842326584.0068","14095740613.4814","16895333997.5041","20506606160.8422","19001859566.4537","18360337864.4625","19823002864.6297","18625405278.8746","19349412109.4357","19629097326.8885","16570999741.624","16758387759.671","17486934805.3245","19031256857.8099","18778063715.196","18851500640.8016",
"Belarus","BLR","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15400000000","","","","14217000000","10742555555.5556","11887538461.5385","10917692307.6923","11862152173.913","9497092369.47791","9731143654.11436","9782194244.60431","11751367950.8654","13996538274.0127","17203101851.8519","21983008356.546","26120372960.373","31845526561.0438","41612172284.6442","36786788399.5704","41009331990.6009","38384864321.608","40474055415.6171","48856159909.9099","52475401017.2144","38275806856.7123","33483614796.9441","38368162293.6397","41597320376.914","45606319915.8619","41198967043.7777",
"Belize","BLZ","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","127076317.507798","135460401.797979","134224977.096547","133567177.406522","131731689.890705","141428047.263465","139697336.323512","163972665.392706","186922108.570174","214357928.229519","222123563.672886","251750000","439903400","465309650","500901950","534253350","569188450","592298550","632322950","680011850","723881750","793755250","862026200","910018050","940458100","957543650","977085750","1041820550","1095352100","1144749150","1191825500","1260928750","1296492200","1365034450","1414976700","1469499450","1599057800","1580755600","1619119850","1600919950","1404085206.525",
"Bermuda","BMU","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4088996000","4010713000","4009754000","4018507000","3965905000","4069755000","4205443000","4343386000","4368343000","4471912000","4098500000",
"Bolivia","BOL","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","346416467.720663","389322025.409439","418037028.998815","447753718.759912","472378503.814755","533417508.417508","595454545.454545","674326599.326599","739898989.89899","795791245.791246","848063973.063973","944023569.023569","1040917638.20985","1012793603.1984","1615592203.89805","2002048975.51224","2268315842.07896","2701799100.44978","3112493753.12344","3642744065.91091","3670473083.19739","4934747145.1876","4729076955.97276","4472650347.53702","5089431775.78438","4534582947.94207","3596083165.10229","3950277635.83717","4155811321.39696","4200555043.69019","4313523710.46286","4804058258.39245","5210159979.48981","5318443412.81564","5452684125.09469","6002812115.90942","6543011074.76451","7023453552.32857","7586377561.20578","7591996593.48978","7634106088.78467","7410028001.02923","7098072384.93724","7074841106.12074","7384244329.6371","7858130447.18017","8832722427.48015","10139794935.806","12589309920.8378","13908505413.1054","14959204611.8546","17848012253.1354","19756346743.8495","22696563386.3965","25619724167.8726","28352112445.7308","29314157018.8133","31760847033.2851","34057574819.1027","35410348769.8987","32584159623.7337",
"Brazil","BRA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","11992000784.22","16282880590.4373","18604727521.4267","17115832349.3402","16951827614.4205","21453709339.9631","25416088594.8761","27673985821.9234","29061029039.4237","33810560993.4346","39662117473.8288","47073605517.5611","61826422206.6525","84615479016.3177","95414734766.2849","121044193603.271","138463998128.67","157057611873.94","178372038063.206","185449993606.238","203719488313.553","224137528862.438","164482455315.142","164368547549.499","168648649160.71","210339906087.958","218881106852.983","238169586924.164","241631776693.982","307084624226.041","272265078384.443","257897339176.922","286336787935.992","407177627034.213","651120367923.89","722081995407.853","749355847997.291","727355502515.1","506474547758.575","546385187179.984","467312021136.759","416544016475.184","451734614081.17","526557761004.693","707906018088.228","880303979312.221","1101176602842.77","1332436727294.78","1360387306528.15","1750276403516.99","2065275354129.37","1970752065813.08","1993283532551.86","2016733904908.6","1509201474487.29","1519709163655.8","1746893349686.14","1620022966168.8","1593187493071.4","1202129619539.82",
"Barbados","BRB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","365174496.312064","397974847.7892","433212577.237393","483200914.831204","584497588.624273","665937453.388356","773877591.607418","791527867.548352","828916621.090837","904688509.918958","921443842.291056","1102272162.2831","1215581961.91518","1218465668.97032","1348481081.88734","1686620593.6459","1724009347.18839","1671300000","1748421418.98275","1775667478.74509","1953562372.59484","2059911500.02486","2213245164.81877","2426291453.28892","2576343658.33043","2691200000","2749300000","2754400000","2768200000","3079300000","3446250000","3513496050","3959358250","4252591350","3848918550","4221510750","4363015250","4262971600","4388392850","4376949500","4259147900","4307564750","4446282900","4596114850","4671636350","4093000000",
"Brunei Darussalam","BRN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","263449464.483565","330620334.837431","277238141.492634","301713536.115438","294195250.659631","405591832.980778","752848869.79264","598759880.721352","662616822.429906","799810695.693327","","","","","","1520791673.07594","1707586206.89655","1828548275.06367","2269490484.9601","2643272682.26266","2691501898.6513","3001269930.85932","3268085106.38298","3349946120.68966","2841180688.33652","2903244837.75811","3039279582.36659","3122305631.52313","3083575561.26438","3369624612.55883","3827177375.45853","3895461727.95001","4344074516.96142","5240130051.0915","5012983347.44567","5113776983.36312","5053171983.86505","5835917004.53136","6133162612.03585","6409846547.31458","6329913180.74191","5798930467.67038","5400894592.05097","5694482076.90637","5926601897.84269","6127478962.02903","5905703850.50074",
"Bhutan","BTN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234902677.037474","193875839.929639","214727750.771605","171849563.791407","170921510.997769","187896749.922911","234967626.305391","307472660.424126","324665945.2254","354575438.922434","308514147.752559","289877181.606273","350217292.73812","412781771.146415","478522372.021183","607189780.045352","522708861.76529","873030995.078419","803141185.421513","876925266.448096","1018167054.48565","1078691839.59889","986960673.46343","1322755001.04099","1302772757.43698","1473613799.4354","1450154792.07623","1692979670.3398","1834253942.49117","1936533073.55975","1919824457.74361",
"Botswana","BWA","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","33463900.1822515","36184273.1215895","39069115.3792233","41765972.3193066","44744179.5622473","48373586.4861092","51394700.13947","59064853.5564854","72315202.2315202","70811864.6428074","87520938.0234506","99382369.4553622","118788819.875776","176343466.359314","232523914.64312","278093306.288032","305657773.689052","383610451.306413","472893021.009418","605950920.245399","777985074.626866","842117843.910601","782023890.45353","833394110.67554","840110905.730129","690555029.959003","826007131.073386","1136160581.33302","1317592693.86416","1566678247.05941","2174630475.67858","2377077562.32687","2611176944.58928","2634951095.70385","2847798554.71951","3287100497.79958","2984056314.30119","3194587487.67393","3208760264.08576","3297033128.62209","3370241875.41652","3180750530.71287","3249960491.7981","4550920402.43237","5403020903.91869","5704114057.88887","5653776666.72384","6261420766.27354","7050892293.72043","7367670598.59401","8810355569.94819","9949459082.79957","10247483803.416","10516162830.8469","11313766557.8592","10570174745.7794","10433264227.7914","11399047103.6202","12215421568.6275","12578212887.8104","12178060788.0449",
"Central African Republic","CAF","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","102367473.085718","108456325.346031","111830402.683276","118359453.489644","128149075.694454","134252347.069647","146940068.805398","161787977.198457","170864424.532254","176565252.580583","173297586.025627","179040625.516376","208310518.371797","235991694.528044","281672937.836278","397548770.979255","429377507.056901","494953388.4973","608005374.554798","721130341.253545","867603613.410855","701313034.005995","788551878.03764","662859418.840831","636548431.686709","815063782.238911","1095967466.91292","1177873177.50983","1224419016.12969","1164872512.72146","1384523449.23031","1320736926.32119","1370903820.97216","1214009194.7171","765317728.75842","1025210137.90688","976233324.288968","862438565.393355","916291805.533944","917550984.238892","858194067.27443","886874414.372506","937439181.03635","1064011668.43857","1250215860.46012","1314060964.06588","1424481071.64393","1674869404.68232","1979321169.32405","1936197852.41546","1926754976.76509","2209052164.82341","2488168297.99182","1707411789.76456","1852231855.61003","1648416294.87373","1796246947.37951","2010650697.62379","2269725347.08563","2202073352.43749","2360541563.90183",
"Canada","CAN","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","32695764216.8386","33158772309.4787","35119813036.7838","37861761304.3632","41188960406.7964","45754406574.3441","50204501458.4514","55424954339.5673","61109333669.6542","68244808115.6092","77093483858.1897","87874532781.089","99246075392.4608","119651329243.354","134726700747.149","158085192697.769","163887165021.157","169085649162.795","183261055147.687","206358193636.675","227787138210.026","240958904109.589","262853781239.857","270304223612.076","278941047235.445","293987765383.231","331349924585.219","385039408466.726","432368243243.243","467679979430.922","497968927293.358","488271696864.4","472138593907.449","459690978324.546","469529291751.676","486733406674.001","502570417449.083","487672396359.96","512666756411.119","548458689650.529","551306172520.661","576498438794.367","676776104489.33","761145272867.025","860849975243.44","971873236953.456","1086613909319.43","1152019681349.58","1093342664683.75","1269191182047.32","1381733360566.04","1409271248589.76","1415697606306.81","1373505262450.99","1224766888757.13","1215250129943.44","1297635013774.46","1354514980410.61","1368888367332.95","1315466938655.53",
"Central Europe and the Baltics","CEB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305477634759.994","326834432036.769","321653387540.524","351236234244.348","344550710045.436","339851134997.8","373744982967.21","424614678348.491","508396227244.496","602916010454.046","696569072559.884","776671198431.34","962810953511.964","1176015731405.88","1004270630278.68","1023088932459.81","1108707520609.17","1038472917580.21","1082461700479.21","1102566733487.81","956793413639.276","982670812996.358","1088675374384.84","1225093885019.69","1242269866672.89","1242357347858.59",
