"country","healthGrade","pop2021"
"spain","92.7500","46745.2160"
"italy","91.5900","60367.4770"
"iceland","91.4400","343.3530"
"japan","91.3800","126050.8040"
"switzerland","90.9300","8715.4940"
"sweden","90.2400","10160.1690"
"australia","89.7500","25788.2150"
"singapore","89.2900","5896.6860"
"norway","89.0900","5465.6300"
"israel","88.1500","8789.7740"
"luxembourg","87.3900","634.8140"
"france","86.9400","65426.1790"
"austria","86.3000","9043.0700"
"finland","85.8900","5548.3600"
"netherlands","85.8600","17173.0990"
"canada","85.7000","38067.9030"
"south korea","85.4100","51305.1860"
"new zealand","85.0600","4860.6430"
"united kingdom","84.2800","68207.1160"
"ireland","84.0600","4982.9070"
"cyprus","83.5800","1215.5840"
"portugal","83.1000","10167.9250"
"germany","83.0600","83900.4730"
"slovenia","82.7200","2078.7240"
"denmark","82.6900","5813.2980"
"greece","82.2900","10370.7440"
"malta","81.7000","442.7840"
"belgium","80.4600","11632.3260"
"czech republic","77.5900","10724.5550"
"cuba","74.6600","11317.5050"
"croatia","73.3600","4081.6510"
"estonia","73.3200","1325.1850"
"costa rica","73.2100","5139.0520"
"chile","73.2100","19212.3610"
"united states","73.0200","332915.0730"
"bahrain","72.3100","1748.2960"
"qatar","71.9700","2930.5280"
"maldives","70.9500","543.6170"
"lebanon","70.5300","6769.1460"
"poland","70.2500","37797.0050"
"montenegro","69.6900","628.0530"
"bosnia and herzegovina","69.6600","3263.4660"
"albania","68.0400","2872.9330"
"brunei","67.9600","441.5320"
"slovakia","67.2800","5460.7210"
"united arab emirates","67.1400","9991.0890"
"uruguay","65.6600","3485.1510"
"hungary","64.4300","9634.1640"
"oman","64.0700","5223.3750"
"panama","64.0100","4381.5790"
"turkey","62.8100","85042.7380"
"china","62.5200","1444216.1070"
"mexico","62.0900","130262.2160"
"argentina","61.1900","45605.8260"
"serbia","60.9900","8697.5500"
