,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Switzerland,190.82,110.96,78.65,74.47,28.73,20.09,80.05
1,Denmark,190.01,94.73,73.28,79.96,28.69,20.40,81.80
2,Netherlands,183.31,83.89,72.78,75.76,27.81,25.28,87.11
3,Finland,182.79,89.05,72.99,76.40,28.96,11.86,56.64
4,Austria,182.37,78.23,74.77,78.40,25.68,19.20,77.79
5,Australia,181.52,99.29,57.56,77.71,35.04,23.48,92.70
6,Iceland,179.10,71.88,75.87,65.69,19.98,16.24,68.81
7,Germany,176.76,93.72,64.58,73.77,31.36,27.48,82.97
8,New Zealand,175.77,81.44,57.74,73.58,30.70,23.81,96.35
9,Norway,173.57,79.43,66.65,75.50,26.87,18.14,68.68
10,Estonia,173.56,61.22,76.62,72.83,24.72,19.01,64.28
11,Oman,172.08,84.45,79.74,58.42,23.02,37.59,67.22
12,Sweden,171.40,90.55,52.80,68.80,29.89,18.44,74.92
13,Slovenia,168.20,56.14,78.21,65.28,26.79,22.65,77.56
14,United States,166.98,102.58,52.26,69.03,32.89,38.89,77.28
15,Spain,164.48,62.68,66.87,78.80,29.38,39.62,93.18
16,Japan,162.32,76.53,78.05,80.68,39.85,39.40,85.27
17,Portugal,161.91,44.96,70.11,71.93,29.64,29.57,97.72
18,Lithuania,160.02,54.60,66.16,70.97,25.67,27.01,69.86
19,Canada,159.99,82.76,58.81,71.80,33.72,28.13,56.75
20,United Kingdom,158.99,82.56,54.74,74.93,34.44,40.25,88.04
21,Czech Republic,156.33,56.40,74.69,75.37,29.72,36.30,77.13
22,Croatia,156.10,43.13,75.09,64.23,28.13,30.58,89.69
23,United Arab Emirates,156.03,85.74,84.65,68.02,36.31,50.44,45.23
24,Qatar,154.58,93.12,87.71,73.00,30.45,60.18,36.03
25,Belgium,150.89,76.54,55.83,75.20,36.24,50.27,86.03
26,Ireland,150.89,73.84,54.98,52.78,37.70,33.59,89.13
27,France,150.73,74.06,50.80,80.99,34.53,41.79,89.94
28,Slovakia,149.68,50.39,70.26,60.89,27.81,39.08,78.13
29,Latvia,147.59,45.94,62.79,62.18,31.16,33.91,74.70
30,Saudi Arabia,147.37,88.18,74.07,60.71,28.45,64.13,45.98
31,Israel,144.14,70.36,68.79,73.76,35.76,58.42,93.78
32,Cyprus,144.06,52.34,68.03,52.71,23.44,56.77,93.34
33,Singapore,143.82,83.62,67.02,70.88,41.19,33.16,57.45
34,Taiwan,138.82,56.08,84.76,86.39,31.28,62.92,81.60
35,Italy,138.63,58.70,55.63,66.77,34.17,53.93,91.48
36,Hungary,134.01,49.81,65.19,51.64,35.81,47.81,79.48
37,Poland,132.65,47.09,70.68,58.25,31.34,54.33,75.90
38,South Africa,132.19,72.92,22.93,63.89,39.30,56.96,95.25
39,Romania,131.71,45.19,71.65,56.09,34.13,58.42,77.69
40,Puerto Rico,130.77,69.22,36.65,55.57,34.16,50.45,71.25
41,South Korea,130.02,76.60,73.14,82.34,39.88,61.85,68.39
42,Greece,129.86,38.95,55.86,56.96,33.94,51.95,94.18
43,Bulgaria,126.34,40.26,61.88,56.13,29.39,64.48,82.76
44,Turkey,125.97,35.35,60.47,70.71,44.64,66.15,93.26
45,Bosnia And Herzegovina,125.71,42.56,56.99,53.48,25.89,60.71,80.48
46,Uruguay,124.63,30.62,48.78,67.66,37.74,45.67,98.04
47,Costa Rica,121.65,39.01,44.66,62.92,60.19,44.07,99.48
48,Mexico,120.29,35.54,45.00,72.51,39.02,61.24,86.63
49,Georgia,118.87,25.67,77.38,53.83,35.40,69.70,88.53
50,Ecuador,118.76,30.54,45.59,68.81,39.57,58.34,94.51
51,Malaysia,116.94,56.10,42.11,69.59,37.00,62.58,59.11
52,Serbia,116.24,35.83,61.74,51.62,31.10,61.20,83.23
53,Jordan,114.04,33.13,59.27,65.38,41.41,76.09,89.05
54,Kuwait,113.98,75.32,65.96,58.97,33.72,66.72,20.22
55,Argentina,110.50,34.56,36.69,68.58,43.16,50.73,98.28
56,Panama,110.32,32.05,54.15,60.43,37.55,59.77,67.84
57,North Macedonia,108.47,31.97,61.41,56.49,27.22,80.03,76.30
58,Ukraine,107.35,30.10,51.72,53.43,37.90,64.31,70.77
59,Belarus,107.35,31.96,39.73,44.44,30.05,44.47,64.37
60,Pakistan,105.14,27.28,56.14,60.52,37.80,73.36,73.63
61,Brazil,104.75,28.66,32.15,57.33,41.71,54.53,92.39
62,India,104.52,47.13,55.28,66.25,46.66,79.62,65.30
63,Morocco,104.42,32.17,50.90,45.81,36.30,70.38,90.04
64,China,103.15,57.47,69.83,66.38,40.89,81.47,80.15
65,Azerbaijan,102.88,25.77,68.34,44.02,39.41,75.44,91.40
66,Russia,101.67,34.61,59.87,58.44,44.60,62.32,38.46
67,Colombia,101.33,26.13,44.23,66.72,47.34,62.88,88.30
68,Thailand,100.29,31.36,60.62,78.08,39.19,75.39,69.45
69,Chile,99.90,33.33,47.92,63.72,35.56,78.96,90.21
70,Hong Kong,99.34,62.45,78.27,66.34,42.28,67.30,83.64
71,Kazakhstan,96.42,34.92,45.98,60.09,33.64,72.62,39.78
72,Lebanon,94.47,29.49,53.04,63.29,39.06,89.35,94.74
73,Indonesia,90.10,20.89,53.77,60.49,43.40,67.08,68.48
74,Vietnam,88.38,27.26,53.91,58.28,29.61,85.92,71.09
75,Egypt,86.31,19.99,53.21,46.21,49.08,84.35,91.98
76,Peru,83.30,28.81,33.39,56.38,48.81,82.69,97.69
77,Sri Lanka,79.78,20.77,58.81,72.63,57.20,59.92,59.11
78,Philippines,78.39,19.71,57.84,67.09,44.04,74.06,61.03
79,Kenya,75.77,27.67,38.60,55.83,57.39,75.88,99.79
80,Bangladesh,65.27,24.07,35.78,42.70,58.53,84.91,72.91
81,Iran,64.73,19.00,50.81,52.25,47.43,76.13,70.99
