,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Switzerland,206.23,138.05,68.21,67.95,24.55,26.80,-
1,United States,195.55,132.91,49.85,68.58,37.13,35.13,-
2,Germany,192.69,112.28,72.86,75.26,36.07,30.20,-
3,Sweden,180.92,106.11,61.72,75.22,34.07,17.51,-
4,Finland,178.88,97.90,70.84,68.69,37.00,16.68,-
5,Denmark,178.55,100.66,70.73,85.62,25.00,34.76,-
6,Canada,178.29,105.53,63.71,71.94,39.17,27.70,-
7,Australia,175.98,104.20,58.77,73.55,36.25,19.38,-
8,United Arab Emirates,173.27,110.64,79.21,60.65,28.20,53.84,-
9,Austria,171.82,91.53,74.17,79.67,24.50,31.68,-
10,New Zealand,168.56,87.58,57.15,77.83,26.57,21.02,-
11,Japan,168.47,99.64,81.90,85.03,47.64,40.78,-
12,Norway,168.41,94.40,66.27,75.71,24.50,22.57,-
13,Netherlands,160.98,97.54,62.93,66.17,35.06,32.40,-
14,United Kingdom,150.97,94.34,57.38,73.52,37.68,33.81,-
15,Estonia,145.40,48.67,70.93,76.34,24.71,13.43,-
16,Ireland,142.35,94.64,46.41,42.57,22.53,29.32,-
17,Kuwait,141.37,92.46,63.56,66.20,17.00,59.99,-
18,Saudi Arabia,139.88,100.03,70.62,50.42,23.33,71.54,-
19,France,136.31,92.29,52.72,82.28,28.10,46.92,-
20,Belgium,134.71,87.93,58.47,78.04,25.96,56.16,-
21,Slovenia,125.56,60.36,66.79,61.31,20.67,32.97,-
22,Portugal,124.71,54.65,64.94,64.80,28.91,30.90,-
23,Puerto Rico,123.64,85.28,40.70,59.93,28.40,47.41,-
24,Spain,123.64,72.48,67.58,75.17,32.03,49.76,-
25,Czech Republic,122.99,62.32,66.12,66.27,33.08,38.34,-
26,Lithuania,121.91,43.24,65.29,69.26,22.00,21.13,-
27,South Korea,117.90,80.63,83.65,79.17,31.20,74.24,-
28,Taiwan,114.06,82.31,78.53,78.33,27.60,70.81,-
29,South Africa,111.61,95.97,21.47,59.44,41.31,57.93,-
30,Slovakia,108.74,52.41,67.28,63.52,37.50,40.81,-
31,Croatia,108.70,48.32,71.10,55.94,33.35,28.69,-
32,Poland,95.19,57.60,62.47,54.83,35.32,50.54,-
33,Uruguay,91.94,39.64,53.36,59.58,45.00,21.33,-
34,Israel,91.16,69.29,66.72,75.43,46.38,63.75,-
35,Italy,90.61,75.39,54.41,65.05,38.05,60.42,-
36,Malaysia,89.05,70.46,33.59,69.35,38.70,61.12,-
37,Singapore,87.99,64.11,78.65,61.82,47.82,41.93,-
38,Mexico,83.47,60.46,47.54,70.64,38.96,71.17,-
39,Hungary,83.18,44.89,62.48,46.58,34.83,48.33,-
40,Argentina,81.12,57.08,42.52,76.75,45.00,57.45,-
41,India,78.01,62.33,56.30,64.62,47.72,74.34,-
42,Greece,77.48,44.27,56.95,59.02,36.98,45.28,-
43,Bosnia And Herzegovina,74.60,44.52,55.02,54.42,22.56,58.22,-
44,Belarus,74.43,33.93,67.11,48.02,24.83,42.72,-
45,Hong Kong,73.24,71.39,77.32,71.83,47.73,63.79,-
46,Chile,69.32,58.27,52.91,58.68,42.10,70.98,-
47,Serbia,69.31,37.39,60.72,54.35,24.38,49.56,-
48,Turkey,67.82,55.79,60.05,57.54,51.93,77.11,-
49,Romania,63.27,36.51,71.27,47.27,33.29,62.55,-
50,Bulgaria,62.60,37.39,59.98,58.04,34.69,66.72,-
51,Thailand,56.64,36.96,62.44,85.44,32.82,71.13,-
52,Ecuador,42.25,27.03,40.03,59.39,42.80,53.66,-
53,Kazakhstan,40.64,37.29,50.59,60.19,40.00,74.36,-
54,Jordan,39.54,38.30,52.42,74.10,60.20,81.84,-
55,Brazil,38.76,43.29,33.00,53.72,43.02,57.58,-
56,Colombia,36.53,33.45,41.46,68.52,46.15,65.67,-
57,China,30.30,43.73,69.87,65.12,31.17,84.72,-
58,Philippines,28.09,29.97,58.10,69.84,49.78,74.88,-
59,Pakistan,22.32,31.53,36.25,50.40,25.12,80.25,-
60,Ukraine,22.22,31.00,50.63,47.10,41.89,73.32,-
61,Indonesia,21.85,26.44,53.33,60.23,41.07,73.78,-
62,Lebanon,18.39,41.86,49.90,55.36,32.43,86.72,-
63,Russia,16.53,37.30,47.33,43.45,49.69,76.45,-
64,Egypt,5.41,25.57,47.57,61.30,60.83,91.23,-
65,Iran,-11.08,30.33,44.99,48.60,54.45,86.07,-
66,Mongolia,-26.75,25.59,33.77,27.23,36.86,94.98,-
