,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Denmark,198.57,114.39,75.75,79.41,28.51,22.14,81.80
1,Switzerland,195.93,129.70,78.50,72.68,29.05,22.03,80.05
2,Finland,194.01,112.30,77.20,73.49,30.41,11.93,58.56
3,Australia,191.13,122.85,57.24,76.38,35.29,23.97,93.75
4,Austria,191.05,96.70,78.63,79.19,25.15,21.97,77.74
5,Netherlands,188.91,102.54,71.43,77.81,29.87,27.45,87.45
6,Iceland,187.79,91.80,76.72,66.44,19.74,15.24,68.81
7,Germany,187.05,116.20,65.49,74.32,29.91,28.01,82.51
8,New Zealand,185.58,101.09,60.45,73.62,31.19,22.74,95.46
9,Norway,181.86,103.61,64.68,74.14,27.12,19.86,71.16
10,Estonia,180.88,75.97,79.20,72.12,25.75,18.15,64.28
11,Japan,180.50,103.12,86.27,80.40,40.03,37.08,84.79
12,United States,179.20,122.03,52.87,69.41,32.87,33.95,77.51
13,Sweden,178.67,111.38,50.65,70.95,30.29,18.01,74.92
14,Slovenia,175.98,75.38,77.43,62.81,24.81,24.33,78.08
15,Spain,174.16,83.80,67.54,77.77,29.42,39.36,94.19
16,United Kingdom,170.81,105.73,57.28,74.71,34.62,39.43,87.82
17,Canada,170.32,109.44,60.49,70.99,33.77,27.85,52.55
18,Qatar,167.84,138.29,86.74,72.41,31.71,66.48,36.03
19,United Arab Emirates,167.81,119.60,83.68,67.99,37.46,53.11,45.23
20,Croatia,165.31,60.33,75.31,64.14,29.11,31.03,88.95
21,Portugal,163.50,55.19,67.87,70.72,29.02,31.58,97.55
22,Belgium,162.09,95.09,57.54,79.44,34.86,49.89,86.03
23,Ireland,160.82,95.09,55.48,48.58,35.85,31.12,89.13
24,Czech Republic,158.79,71.32,73.34,74.71,30.02,40.96,77.13
25,France,157.83,91.55,53.61,78.55,35.27,42.70,88.25
26,Cyprus,157.57,75.29,70.69,50.17,20.27,53.75,92.23
27,Singapore,156.91,103.77,78.53,70.30,42.15,32.29,57.45
28,Lithuania,156.36,60.34,63.49,67.58,27.15,30.84,69.86
29,Israel,153.82,92.48,67.84,73.44,36.32,57.25,93.80
30,Slovakia,153.10,63.24,70.46,60.06,29.58,41.89,78.13
31,Saudi Arabia,152.72,118.59,70.27,59.07,29.61,67.26,41.42
32,South Korea,149.53,103.40,65.95,84.51,40.02,54.19,68.39
33,Latvia,149.15,55.16,63.23,59.71,31.45,34.96,74.70
34,Poland,147.98,70.00,69.91,62.15,32.15,52.38,76.02
35,Italy,145.69,77.49,54.98,67.14,34.69,53.75,91.25
36,Belarus,141.47,44.64,76.47,58.01,28.78,40.97,64.37
37,Romania,140.31,61.16,72.16,54.49,34.36,55.39,77.62
38,Greece,137.82,49.57,61.43,55.16,32.20,51.86,94.18
39,South Africa,135.31,82.97,23.20,62.56,40.33,56.95,95.97
40,Hungary,134.47,54.66,64.83,48.24,35.17,46.47,78.74
41,Taiwan,133.82,56.36,82.62,86.22,30.90,63.47,84.38
42,Bulgaria,130.59,52.18,60.00,54.04,28.79,63.98,82.76
43,Turkey,125.51,45.33,59.62,69.36,44.77,69.15,93.26
44,Bosnia And Herzegovina,124.51,49.18,56.21,53.20,26.43,63.47,80.48
45,Chile,124.14,54.13,53.19,65.50,36.79,65.54,90.21
46,Mexico,123.48,49.98,47.70,69.72,39.08,66.02,86.29
47,Argentina,122.49,55.00,37.45,69.39,43.04,52.35,98.28
48,Malaysia,122.11,73.14,39.21,67.61,35.25,63.74,60.10
49,Georgia,120.90,33.19,80.14,51.29,34.34,72.46,84.20
50,Serbia,119.83,39.90,62.73,52.56,29.74,58.86,83.23
51,India,117.51,66.91,57.28,68.32,45.71,75.81,65.74
52,Panama,113.12,41.34,53.57,61.41,36.48,62.00,67.84
53,Jordan,112.94,41.73,56.18,66.12,42.43,80.39,89.05
54,Lebanon,111.21,53.97,55.73,65.90,37.36,87.39,94.74
55,North Macedonia,110.64,39.83,60.71,58.98,27.94,80.85,76.30
56,Colombia,108.36,34.66,48.74,67.51,45.06,61.74,86.04
57,Indonesia,107.20,32.95,53.99,61.98,42.93,62.78,68.96
58,Russia,104.94,45.38,58.07,57.63,46.00,62.80,46.53
59,Pakistan,104.63,38.61,53.27,60.58,38.63,75.89,72.99
60,Thailand,103.26,40.86,53.34,79.06,39.40,72.21,69.45
61,Ukraine,102.34,32.72,51.12,50.95,37.36,66.63,70.69
62,Hong Kong,100.90,69.34,80.68,67.35,41.00,66.39,83.64
63,Brazil,100.33,37.43,29.76,54.64,43.37,57.72,95.35
64,China,97.92,68.95,54.54,64.03,42.46,81.91,78.91
65,Sri Lanka,95.30,27.34,58.97,72.30,51.90,57.69,59.11
66,Philippines,90.73,29.46,59.17,65.87,44.15,74.47,60.23
67,Vietnam,88.82,33.33,51.22,54.54,28.33,87.13,71.24
68,Kazakhstan,87.17,38.83,33.49,51.27,29.75,74.25,39.78
69,Iran,87.02,37.74,50.67,51.18,48.38,79.35,70.99
