,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Switzerland,222.94,146.51,73.23,66.31,25.63,24.07,-
1,Germany,195.94,111.84,71.51,75.61,31.08,28.32,-
2,Sweden,193.86,110.95,57.91,76.29,26.90,15.14,-
3,United States,192.49,126.09,49.99,67.75,35.96,31.45,-
4,Finland,190.25,101.17,70.45,69.37,33.17,14.91,-
5,Denmark,190.18,105.70,74.29,79.28,27.85,31.79,-
6,Austria,182.62,104.55,73.75,78.42,25.86,33.96,-
7,Australia,180.81,110.39,57.84,71.85,36.25,21.63,-
8,Canada,177.63,105.07,62.54,69.60,38.88,27.30,-
9,New Zealand,175.51,90.99,60.24,72.61,28.10,17.61,-
10,Norway,175.09,96.30,68.81,75.46,25.30,23.70,-
11,Saudi Arabia,169.37,126.19,65.43,59.02,26.14,71.02,-
12,Japan,168.28,98.21,79.76,87.07,51.05,38.22,-
13,Netherlands,166.76,102.02,64.59,67.23,35.45,34.97,-
14,Turkmenistan,157.09,59.75,82.14,77.22,11.75,28.45,-
15,United Kingdom,156.90,98.12,57.99,73.88,34.00,33.95,-
16,Cyprus,154.91,71.05,68.44,78.36,19.00,32.88,-
17,United Arab Emirates,153.68,104.59,77.78,55.60,29.90,61.34,-
18,Ireland,148.85,95.72,50.93,49.53,32.60,27.97,-
19,Qatar,144.89,113.02,78.96,75.86,29.27,87.73,-
20,Estonia,144.59,51.44,71.87,73.08,22.44,15.53,-
21,France,139.31,92.62,50.29,82.58,28.60,45.94,-
22,Belgium,135.95,86.16,57.96,77.86,26.69,53.84,-
23,Spain,134.91,76.71,66.15,73.21,28.91,46.30,-
24,Slovenia,134.49,64.16,71.29,53.93,18.82,31.45,-
25,Portugal,129.16,58.22,64.16,65.62,28.20,32.61,-
26,Czech Republic,127.53,68.07,67.11,67.24,31.47,42.87,-
27,Puerto Rico,125.69,94.43,32.94,58.74,32.00,48.03,-
28,Kuwait,123.39,85.70,56.49,66.57,25.00,59.63,-
