,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Denmark,192.67,100.88,74.90,80.00,28.85,21.33,81.80
1,Switzerland,192.01,119.53,78.40,72.44,29.09,22.39,79.24
2,Finland,190.22,99.93,76.68,75.79,29.90,11.55,58.87
3,Australia,186.21,107.31,58.64,77.38,34.73,23.46,92.70
4,Netherlands,183.67,90.73,72.38,74.65,29.43,27.41,87.61
5,Austria,182.50,82.38,76.27,78.73,26.27,22.19,77.30
6,Iceland,181.75,79.44,76.64,65.92,20.10,16.21,68.81
7,New Zealand,181.02,92.66,59.07,73.81,31.10,23.40,95.46
8,Germany,179.78,102.36,65.19,73.32,30.98,29.03,83.00
9,Estonia,177.82,71.30,76.86,72.67,24.53,19.81,64.28
10,Sweden,175.95,101.73,52.93,69.23,30.49,18.09,73.97
11,Norway,175.19,88.38,64.57,74.36,26.99,20.35,71.37
12,Slovenia,172.15,66.31,78.93,64.58,27.30,24.06,77.56
13,United States,172.11,109.52,52.80,69.27,32.89,36.88,77.54
14,Spain,169.82,72.03,68.04,78.88,29.10,39.99,94.19
15,Japan,167.99,87.28,79.34,81.14,39.15,39.59,84.79
16,Oman,167.09,80.97,79.21,58.15,22.80,37.74,67.22
17,Canada,163.47,95.09,60.33,71.58,33.87,27.83,50.57
18,Portugal,162.91,49.43,70.37,71.88,30.00,30.89,97.31
19,United Kingdom,162.71,91.73,56.29,74.46,34.53,40.56,87.62
20,Qatar,162.29,111.69,88.14,73.30,29.72,61.06,36.03
21,Lithuania,159.42,57.85,66.94,69.49,26.08,28.80,67.76
22,Croatia,159.01,50.42,75.29,62.68,29.11,30.46,89.05
23,United Arab Emirates,156.67,91.58,84.30,67.04,36.85,51.15,45.23
24,Czech Republic,156.24,62.82,74.48,74.62,29.65,40.23,77.13
25,France,153.95,80.36,53.21,79.99,34.76,43.56,90.25
26,Ireland,153.53,80.88,54.57,51.89,37.68,33.99,89.13
27,Belgium,153.47,86.28,56.02,74.34,36.15,52.94,85.99
28,Slovakia,152.53,56.94,70.78,60.02,29.11,39.66,78.13
29,Saudi Arabia,150.56,100.00,73.82,59.11,28.61,65.09,45.98
30,Latvia,150.00,52.48,63.05,62.91,32.89,33.73,74.70
31,Israel,149.94,78.09,70.40,73.29,35.91,57.25,93.78
32,Cyprus,147.93,57.41,69.99,51.75,23.95,53.55,92.80
33,Singapore,144.39,88.96,69.43,70.84,41.31,33.48,57.45
34,Taiwan,143.23,65.67,84.35,86.71,31.93,63.35,84.38
35,Poland,141.83,59.61,71.50,61.01,31.72,54.46,76.14
36,Italy,140.76,65.59,55.74,66.59,34.42,55.63,92.27
37,South Korea,139.02,85.21,71.98,81.97,39.57,62.48,68.39
38,Belarus,134.83,37.00,75.01,59.04,30.68,43.63,64.37
39,Greece,133.07,43.68,59.68,56.21,33.84,52.55,94.18
40,Romania,132.44,48.86,72.36,55.06,34.75,58.42,77.62
41,South Africa,131.97,73.61,22.51,64.14,39.43,57.30,95.25
42,Bulgaria,129.80,49.37,61.50,55.40,29.39,65.33,82.76
43,Hungary,128.16,47.55,64.92,47.80,35.78,48.29,79.48
44,Turkey,127.10,40.85,60.51,69.80,44.65,67.35,93.26
45,Uruguay,125.98,37.46,46.19,66.28,39.89,44.84,98.04
46,Ecuador,125.14,36.08,49.10,70.59,37.55,57.00,94.51
47,Bosnia And Herzegovina,121.89,41.83,56.97,52.26,26.67,62.33,80.48
48,Chile,119.76,42.50,54.77,65.44,35.44,65.78,90.21
49,Mexico,118.55,41.81,46.03,70.12,39.39,66.10,86.29
50,Malaysia,118.44,64.49,41.16,68.10,37.03,63.18,57.92
51,Serbia,116.30,36.72,62.59,51.27,30.43,60.32,83.23
52,Georgia,115.95,24.88,79.79,51.24,36.02,71.09,84.20
53,Kuwait,115.75,85.59,65.25,56.21,34.44,68.69,20.22
54,Argentina,115.31,47.22,38.23,69.25,43.08,50.67,98.28
55,Jordan,112.40,34.88,59.17,64.60,42.03,77.78,89.05
56,North Macedonia,110.46,37.15,61.33,56.38,27.61,80.23,76.30
57,India,108.63,54.30,56.68,67.13,46.99,78.87,64.87
58,Panama,108.36,34.23,52.81,59.93,36.48,63.09,67.84
59,Lebanon,106.56,44.47,56.64,64.38,37.38,88.37,94.74
60,Colombia,105.83,31.12,45.21,67.24,47.49,62.83,96.69
61,Brazil,105.65,32.81,31.12,56.29,41.70,54.98,97.16
62,Morocco,105.46,35.25,51.31,45.72,36.89,70.64,91.70
63,Pakistan,105.44,30.57,55.92,60.59,38.56,74.25,71.93
64,Ukraine,104.77,31.80,51.15,52.33,38.65,65.08,71.42
65,China,102.81,60.88,68.17,64.48,41.81,80.77,79.19
66,Russia,102.31,38.94,58.88,57.59,45.30,62.79,40.36
67,Thailand,101.88,35.45,59.52,77.95,38.23,75.07,69.45
68,Hong Kong,99.05,65.32,79.30,66.08,41.46,67.69,83.64
69,Indonesia,97.47,25.05,54.16,60.48,43.11,66.56,74.15
70,Kazakhstan,88.31,38.36,37.98,50.70,31.08,75.15,39.78
71,Vietnam,87.48,28.14,54.65,57.70,30.17,86.47,71.24
72,Egypt,86.54,22.41,53.08,45.84,49.78,85.65,91.98
73,Peru,85.46,33.95,31.85,56.15,48.33,84.13,97.69
74,Philippines,85.37,23.48,57.84,67.47,44.63,74.28,60.81
75,Sri Lanka,85.16,24.45,59.78,72.53,59.01,59.14,59.11
76,Iran,74.14,22.69,50.75,51.70,48.01,77.45,70.99
77,Kenya,70.56,27.32,38.34,55.59,56.65,76.60,99.79
78,Bangladesh,70.03,33.21,36.06,42.80,56.73,86.21,71.29
