,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Switzerland,208.54,178.74,74.27,68.88,28.73,23.02,70.50
1,Denmark,206.49,142.14,74.33,81.89,25.64,29.93,70.65
2,New Zealand,201.06,115.47,63.63,72.60,31.10,19.04,88.35
3,Germany,199.70,147.61,67.05,75.85,29.07,29.91,63.02
4,Australia,198.79,147.25,56.88,73.71,34.65,22.88,77.33
5,Austria,192.40,120.46,75.94,77.78,26.79,30.77,63.76
6,Netherlands,192.40,129.34,68.53,70.43,35.51,32.79,76.28
7,Norway,188.90,125.75,69.89,74.23,29.48,18.21,56.33
8,Spain,186.41,105.31,68.23,75.89,30.52,46.58,90.80
9,Sweden,185.81,128.22,56.88,74.33,32.05,18.30,61.80
10,Finland,184.01,132.93,71.88,74.36,32.89,17.84,32.56
11,United States,183.96,139.17,51.13,67.76,33.35,34.94,67.57
12,Portugal,181.18,75.47,64.87,69.03,30.56,31.85,91.70
13,United Kingdom,180.25,120.00,56.87,74.03,35.53,35.02,81.60
14,Canada,177.23,134.81,60.80,68.62,37.79,29.48,46.23
15,Japan,176.06,117.55,80.66,80.42,48.35,34.04,79.64
16,Slovenia,175.93,89.76,73.73,58.47,25.00,28.20,62.46
17,France,173.56,118.51,55.94,82.25,31.98,46.31,78.30
18,Croatia,172.39,67.89,70.49,59.96,30.03,30.42,85.64
19,Ireland,171.92,125.66,51.61,50.38,32.31,30.85,73.07
20,South Korea,170.29,120.64,85.69,78.97,30.93,49.65,51.35
21,Czech Republic,167.38,89.99,67.94,72.35,32.48,42.49,63.48
22,Israel,166.63,115.54,69.37,76.07,37.76,61.46,81.89
23,Greece,165.43,79.27,61.54,59.17,29.09,47.22,87.14
24,Belgium,162.29,106.69,54.81,78.06,36.19,56.61,76.97
25,Italy,159.28,105.67,53.78,67.76,36.49,56.56,86.19
26,Saudi Arabia,159.18,167.86,74.80,65.09,38.70,72.20,16.77
27,South Africa,156.70,126.10,21.57,59.58,43.18,63.29,91.42
28,Poland,153.61,80.77,68.59,60.01,34.51,49.87,64.33
29,Chile,147.26,78.40,58.00,61.05,33.81,67.21,85.68
30,Bosnia And Herzegovina,146.70,60.64,57.54,60.52,23.41,57.95,75.31
31,Romania,146.13,61.90,70.28,51.43,33.29,50.50,66.96
32,United Arab Emirates,144.09,136.43,76.92,58.20,33.69,59.54,5.91
33,Bulgaria,141.61,59.19,58.58,50.93,28.66,60.35,77.80
34,Hungary,140.74,56.30,58.07,52.07,31.78,46.70,66.89
35,Argentina,138.48,74.92,36.72,73.73,42.36,58.46,91.70
36,Serbia,138.26,49.62,56.72,55.88,28.37,55.14,83.89
37,Turkey,137.31,64.12,60.57,73.03,48.05,65.75,74.22
38,Mexico,137.01,76.51,49.20,68.13,37.06,64.64,58.78
39,Lithuania,134.33,61.25,56.85,67.38,30.24,30.94,24.42
40,Colombia,128.46,45.99,51.49,73.22,44.24,64.44,84.51
41,North Macedonia,115.03,46.74,61.98,59.99,40.68,85.29,80.55
42,India,109.28,89.65,53.41,66.47,45.98,77.02,19.66
43,Hong Kong,108.33,102.32,79.15,74.30,46.40,67.17,39.90
44,Brazil,101.02,48.69,28.77,51.09,46.12,61.18,72.60
45,China,99.03,77.42,67.92,61.20,44.09,85.54,46.59
46,Iran,96.93,47.73,47.63,49.83,48.15,84.21,74.61
47,Pakistan,93.99,43.34,43.37,61.27,36.85,76.64,41.17
48,Singapore,93.09,110.50,84.19,69.06,43.43,38.83,-66.63
49,Egypt,88.79,40.30,43.47,46.58,50.85,96.05,79.72
50,Russia,88.31,57.42,52.69,54.15,49.13,64.49,10.87
51,Ukraine,85.56,29.66,51.38,49.69,39.95,67.84,50.40
52,Indonesia,72.19,35.51,53.03,62.56,41.40,75.14,7.98
53,Philippines,65.83,42.86,62.39,72.25,45.97,73.12,-26.98
54,Thailand,63.83,40.06,57.44,80.80,43.09,71.51,-23.25
