,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Traffic Commute Time Index,Pollution Index,Climate Index
0,Austria,190.37,95.66,80.75,80.91,26.27,21.90,62.13
1,Germany,189.74,124.88,67.97,76.74,30.55,27.05,57.97
2,Denmark,184.92,98.76,78.87,75.45,28.42,25.97,64.24
3,New Zealand,184.74,89.87,61.22,70.58,30.23,20.03,85.41
4,Spain,183.65,87.87,68.72,76.65,32.63,37.46,88.04
5,Finland,182.93,114.97,75.37,74.85,34.92,13.38,35.83
6,United States,179.73,123.17,51.24,68.22,34.58,31.19,67.95
7,Portugal,178.43,62.72,64.61,70.31,30.44,28.91,92.19
8,Australia,176.54,101.94,57.58,74.25,34.73,24.58,72.79
9,Slovenia,175.45,78.23,75.95,64.35,26.48,26.37,60.50
10,Netherlands,175.23,86.52,70.11,82.50,33.90,27.62,61.87
11,Switzerland,173.54,95.35,77.55,71.04,28.30,20.77,69.32
12,United Kingdom,172.87,96.85,58.81,74.28,34.60,34.88,78.91
13,Sweden,172.74,107.23,53.35,70.64,31.60,17.87,59.13
14,Estonia,171.09,68.48,77.00,71.30,26.71,17.71,44.56
15,Croatia,170.63,60.71,72.20,65.49,28.45,33.34,82.02
16,Canada,167.18,108.01,60.75,69.23,36.24,26.54,44.31
17,Ireland,166.90,103.52,54.23,53.33,35.01,27.18,70.18
18,Cyprus,166.64,95.92,67.54,54.23,20.32,54.77,71.01
19,Norway,165.93,105.58,54.31,74.19,31.32,19.45,49.32
20,Czech Republic,165.41,76.22,69.82,74.09,31.98,41.04,65.32
21,South Korea,162.49,102.38,74.73,83.20,34.18,52.73,61.20
22,Belgium,160.52,91.02,55.49,78.92,36.26,48.92,75.16
23,France,160.25,87.29,56.34,78.62,35.81,40.15,73.91
24,Israel,157.88,94.47,70.99,74.78,36.52,61.71,81.01
25,Slovakia,152.55,64.75,69.82,62.63,36.03,43.51,65.06
26,Poland,150.21,71.75,68.47,61.46,34.55,50.33,62.53
27,Taiwan,150.08,118.57,82.76,81.14,32.69,62.91,24.48
28,Greece,148.32,58.24,59.68,53.92,31.60,52.05,87.25
29,Japan,147.49,102.52,79.11,78.63,46.81,41.01,31.91
30,Saudi Arabia,146.41,138.05,76.35,60.41,36.31,74.18,17.96
31,South Africa,144.72,98.96,24.28,61.72,42.98,63.56,88.74
32,Romania,143.04,53.44,72.05,53.11,31.97,50.90,64.45
33,Italy,142.52,71.83,55.34,66.31,36.38,51.57,82.60
34,Argentina,139.59,58.40,37.37,73.30,37.95,53.33,90.67
35,United Arab Emirates,139.27,116.77,79.34,60.49,35.05,58.52,8.86
36,Bosnia And Herzegovina,139.14,51.29,59.03,61.49,26.63,60.69,73.29
37,Hungary,138.82,47.52,61.61,53.46,33.09,43.99,66.49
38,Bulgaria,138.20,51.40,59.82,54.03,27.92,63.12,77.05
39,Chile,136.20,61.28,52.50,60.97,35.70,67.67,89.39
40,Serbia,133.43,40.80,61.38,53.86,29.93,55.29,82.66
41,Qatar,132.37,111.28,84.30,66.14,32.97,73.29,9.26
42,Lithuania,130.28,51.67,59.97,68.74,28.00,34.27,25.04
43,Turkey,129.63,55.64,58.91,71.68,47.58,70.46,73.19
44,Mexico,129.06,60.08,49.68,70.11,41.66,66.74,60.74
45,Belarus,119.23,36.43,77.74,53.76,27.66,39.64,20.07
46,Jordan,117.47,42.27,56.86,71.92,47.76,85.73,88.42
47,North Macedonia,116.42,39.85,61.34,63.46,33.79,83.38,75.54
48,Colombia,115.38,37.63,48.31,65.79,43.77,63.90,81.34
49,Lebanon,106.18,53.61,50.84,64.28,36.15,85.11,69.39
50,India,101.52,76.73,56.04,69.18,46.38,76.53,9.30
51,Iran,97.17,43.18,49.10,51.55,49.70,82.51,71.48
52,Brazil,96.15,42.38,29.38,51.70,46.39,61.17,70.76
53,Hong Kong,94.45,81.45,79.32,67.99,42.22,69.90,29.73
54,Pakistan,93.41,39.95,45.62,59.05,38.69,80.08,42.54
55,Egypt,91.81,29.39,47.14,43.73,48.84,88.88,75.59
56,China,90.95,67.84,66.10,62.25,43.87,88.96,38.70
57,Sri Lanka,88.99,30.28,65.43,80.04,47.19,61.90,2.40
58,Ukraine,87.49,26.93,48.73,49.81,39.16,67.26,49.94
59,Singapore,86.50,92.70,83.42,69.87,43.39,37.04,-71.47
60,Russia,85.93,48.27,53.95,56.40,48.57,63.04,10.69
61,Indonesia,62.02,27.61,50.32,64.80,49.44,76.41,9.62
62,Thailand,57.21,34.28,50.22,80.66,43.56,73.23,-20.21
63,Philippines,56.87,36.00,60.23,69.16,45.14,70.25,-44.10
64,Malaysia,51.65,73.34,35.25,65.99,39.40,67.08,-79.43
65,Vietnam,36.12,24.77,47.04,47.87,33.00,88.10,-12.87
