"country","exports","pop2020"
"TRINIDAD AND TOBAGO","9668000000","1399.4880"
"PAPUA NEW GUINEA","9526000000","8947.0240"
"URUGUAY","8976000000","3473.7300"
"DR CONGO","8598000000","89561.4030"
"HONDURAS","8173000000","9904.6070"
"ZAMBIA","8106000000","18383.9550"
"BOLIVIA","7986000000","11673.0210"
"JORDAN","7734000000","10203.1340"
"BOTSWANA","7580000000","2351.6270"
"TURKMENISTAN","7394000000","6031.2000"
"MONGOLIA","6201000000","3278.2900"
"KENYA","5798000000","53771.2960"
"BRUNEI","5776000000","437.4790"
"EL SALVADOR","5760000000","6486.2050"
"EQUATORIAL GUINEA","5412000000","1402.9850"
"REPUBLIC OF THE CONGO","5238000000","5518.0870"
"TANZANIA","5194000000","59734.2180"
"CAMEROON","5158000000","26545.8630"
"GABON","5078000000","2225.7340"
"BOSNIA AND HERZEGOVINA","4803000000","3280.8190"
"MOZAMBIQUE","4773000000","31255.4350"
"NAMIBIA","4710000000","2540.9050"
"ICELAND","4600000000","341.2430"
"MACEDONIA","4276000000","2083.3740"
"LEBANON","4051000000","6825.4450"
"SAN MARINO","3827000000","33.9310"
"SUDAN","3808000000","43849.2600"
"ZIMBABWE","3763000000","14862.9240"
"NICARAGUA","3611000000","6624.5540"
"GEORGIA","3533000000","3989.1670"
"LIECHTENSTEIN","3217000000","38.1280"
"ETHIOPIA","3076000000","114963.5880"
"MALI","3036000000","20250.8330"
"NORTH KOREA","2985000000","25778.8160"
"CYPRUS","2905000000","1207.3590"
"UGANDA","2902000000","45741.0070"
"CUBA","2885000000","11326.6160"
"LAOS","2881000000","7275.5600"
"MADAGASCAR","2801000000","27691.0180"
"BURKINA FASO","2797000000","20903.2730"
"MALTA","2627000000","441.5430"
"SENEGAL","2546000000","16743.9270"
"CHAD","2438000000","16425.8640"
"MOLDOVA","2425000000","4033.9630"
"MAURITIUS","2329000000","1271.7680"
"ARMENIA","2233000000","2963.2430"
"NEW CALEDONIA","2207000000","285.4980"
"GUINEA","2115000000","13132.7950"
"SURINAME","1976000000","586.6320"
"UNITED STATES VIRGIN ISLANDS","1810000000","104.4250"
"SYRIA","1786000000","17500.6580"
"KYRGYZSTAN","1768000000","6524.1950"
"BENIN","1760000000","12123.2000"
"CURACAO","1607000000","164.0930"
"MAURITANIA","1606000000","4649.6580"
"GUYANA","1474000000","786.5520"
"MALAWI","1443000000","19129.9520"
"JAMAICA","1310000000","2961.1670"
"FRENCH POLYNESIA","1245000000","280.9080"
"FAROE ISLANDS","1184000000","48.8630"
"NIGER","1177000000","24206.6440"
"MACAU","1137000000","649.3350"
"SOUTH SUDAN","1130000000","11193.7250"
"GUAM","1124000000","168.7750"
"LESOTHO","1031000000","2142.2490"
"TOGO","1002000000","8278.7240"
"MONACO","964600000","39.2420"
"ALBANIA","960900000","2877.7970"
"HAITI","960100000","11402.5280"
"BAHAMAS","934700000","393.2440"
"NORTHERN MARIANA ISLANDS","914000000","57.5590"
"RWANDA","908900000","12952.2180"
"SIERRA LEONE","836800000","7976.9830"
"SOMALIA","819000000","15893.2220"
"NEPAL","818700000","29136.8080"
"TAJIKISTAN","794700000","9537.6450"
"AFGHANISTAN","784000000","38928.3460"
"FIJI","758600000","896.4450"
"ERITREA","635700000","3546.4210"
"BHUTAN","580000000","771.6080"
"YEMEN","501200000","29825.9640"
"SEYCHELLES","495400000","98.3470"
"BELIZE","483400000","397.6280"
"BARBADOS","482500000","287.3750"
"AMERICAN SAMOA","428000000","55.1910"
"MONTENEGRO","422200000","628.0660"
"GREENLAND","407100000","56.7700"
"SOLOMON ISLANDS","319000000","686.8840"
"GUINEA-BISSAU","281200000","1968.0010"
"FALKLAND ISLANDS","257300000","3.4800"
"MALDIVES","256200000","540.5440"
"ARUBA","246300000","106.7660"
"SAINT LUCIA","204200000","183.6270"
"GIBRALTAR","202300000","33.6910"
"LIBERIA","202100000","5057.6810"
"CAPE VERDE","158600000","555.9870"
"DJIBOUTI","155500000","988"
"NAURU","125000000","10.8240"
"CENTRAL AFRICAN REPUBLIC","118500000","4829.7670"
"PALAU","117500000","18.0940"
"GAMBIA","109700000","2416.6680"
"BURUNDI","100300000","11890.7840"
"MICRONESIA","88300000","115.0230"
"KIRIBATI","84750000","119.4490"
"ANDORRA","78710000","77.2650"
"ANTIGUA AND BARBUDA","61300000","97.9290"
"SAINT KITTS AND NEVIS","58400000","53.1990"
"CAYMAN ISLANDS","55300000","65.7220"
"SAINT VINCENT AND THE GRENADINES","51300000","110.9400"
"DOMINICA","47400000","71.9860"
"VANUATU","43900000","307.1450"
"GRENADA","43400000","112.5230"
"SAMOA","27500000","198.4140"
"TURKS AND CAICOS ISLANDS","24770000","38.7170"
"BRITISH VIRGIN ISLANDS","23000000","30.2310"
"BERMUDA","20000000","62.2780"
"TIMOR-LESTE","20000000","1318.4450"
"COMOROS","18400000","869.6010"
"TONGA","18200000","105.6950"
"SAO TOME AND PRINCIPE","10870000","219.1590"
"SAINT PIERRE AND MIQUELON","6641000","5.7940"
"MONTSERRAT","5700000","4.9920"
"ANGUILLA","4200000","15.0030"
"COOK ISLANDS","3125000","17.5640"
"TUVALU","600000","11.7920"
"NIUE","201400","1.6260"
"WALLIS AND FUTUNA","47450","11.2390"
"TOKELAU","0","1.3570"
"MARSHALL ISLANDS","0","59.1900"
