"country","exports","pop2020"
"CHINA","2157000000000","1439323.7760"
"UNITED STATES","1576000000000","331002.6510"
"GERMANY","1401000000000","83783.9420"
"JAPAN","683300000000","126476.4610"
"SOUTH KOREA","577400000000","51269.1850"
"FRANCE","551800000000","65273.5110"
"NETHERLANDS","526400000000","17134.8720"
"ITALY","499100000000","60461.8260"
"HONG KONG","496900000000","7496.9810"
"UNITED KINGDOM","436500000000","67886.0110"
"CANADA","433000000000","37742.1540"
"MEXICO","406500000000","128932.7530"
"SINGAPORE","372900000000","5850.3420"
"TAIWAN","344600000000","23816.7750"
"SWITZERLAND","336800000000","8654.6220"
"RUSSIA","336800000000","145934.4620"
"UNITED ARAB EMIRATES","314700000000","9890.4020"
"BELGIUM","309100000000","11589.6230"
"SPAIN","301500000000","46754.7780"
"INDIA","299300000000","1380004.3850"
"SAUDI ARABIA","231300000000","34813.8710"
"THAILAND","228200000000","69799.9780"
"IRELAND","225100000000","4937.7860"
"AUSTRALIA","224500000000","25499.8840"
"POLAND","221400000000","37846.6110"
"BRAZIL","217200000000","212559.4170"
"VIETNAM","214000000000","97338.5790"
"MALAYSIA","188200000000","32365.9990"
"SWEDEN","169700000000","10099.2650"
"INDONESIA","168800000000","273523.6150"
"AUSTRIA","161800000000","9006.3980"
"CZECH REPUBLIC","157400000000","10708.9810"
"TURKEY","157300000000","84339.0670"
"DENMARK","113200000000","5792.2020"
"NORWAY","102800000000","5421.2410"
"HUNGARY","98720000000","9660.3510"
"IRAN","91990000000","83992.9490"
"SLOVAKIA","80570000000","5459.6420"
"SOUTH AFRICA","78250000000","59308.6900"
"PUERTO RICO","73160000000","2860.8530"
"ROMANIA","64920000000","19237.6910"
"CHILE","64510000000","19116.2010"
"PHILIPPINES","63230000000","109581.0780"
"PORTUGAL","62600000000","10196.7090"
"ISRAEL","60600000000","8655.5350"
"ARGENTINA","59690000000","45195.7740"
"FINLAND","59600000000","5540.7200"
"IRAQ","56740000000","40222.4930"
"QATAR","56260000000","2881.0530"
"KUWAIT","54090000000","4270.5710"
"KAZAKHSTAN","49290000000","18776.7070"
"PERU","42470000000","32971.8540"
"NIGERIA","40810000000","206139.5890"
"NEW ZEALAND","37350000000","4822.2330"
"UKRAINE","36850000000","43733.7620"
"BANGLADESH","35910000000","164689.3830"
"COLOMBIA","34300000000","50882.8910"
"ANGOLA","33820000000","32866.2720"
"ALGERIA","33150000000","43851.0440"
"BULGARIA","32050000000","6948.4450"
"OMAN","31900000000","5106.6260"
"SLOVENIA","30230000000","2078.9380"
"GREECE","29230000000","10423.0540"
"VENEZUELA","29160000000","28435.9400"
"LITHUANIA","26380000000","2722.2890"
"MOROCCO","24570000000","36910.5600"
"BELARUS","24200000000","9449.3230"
"EGYPT","23530000000","102334.4040"
"PAKISTAN","21940000000","220892.3400"
"LIBYA","19720000000","6871.2920"
"ECUADOR","19120000000","17643.0540"
"LUXEMBOURG","18400000000","625.9780"
"CROATIA","15760000000","4105.2670"
"AZERBAIJAN","15690000000","10139.1770"
"PANAMA","15480000000","4314.7670"
"SERBIA","14690000000","8737.3710"
"BAHRAIN","14330000000","1701.5750"
"TUNISIA","14220000000","11818.6190"
"ESTONIA","14020000000","1326.5350"
"GHANA","13750000000","31072.9400"
"LATVIA","12340000000","1886.1980"
"PARAGUAY","11530000000","7132.5380"
"UZBEKISTAN","11380000000","33469.2030"
"IVORY COAST","11080000000","26378.2740"
"SRI LANKA","10930000000","21413.2490"
"COSTA RICA","10550000000","5094.1180"
"GUATEMALA","10530000000","17915.5680"
"CAMBODIA","10450000000","16718.9650"
"DOMINICAN REPUBLIC","10330000000","10847.9100"
"MYANMAR","10070000000","54409.8000"
