Country,Year,GDP Total
Botswana,2026,26883786288.46875
Botswana,2027,28060279324.960938
Botswana,2028,29270183347.976562
Botswana,2029,30513978684.59375
Botswana,2030,31792146939.476562
Brazil,2021,2860919045523.0
Brazil,2022,2997168047046.0
Brazil,2023,3137765751704.0
Brazil,2024,3282784005127.0
Brazil,2025,3432294847290.0
Brazil,2026,3586370512736.0
Brazil,2027,3745083430646.0
Brazil,2028,3908506225220.0
Brazil,2029,4076711715636.0
Brazil,2030,4249772916445.0
Bulgaria,2021,79870056483.75
Bulgaria,2022,84098307162.0625
Bulgaria,2023,88499063548.9375
Bulgaria,2024,93076318095.0
Bulgaria,2025,97834074348.3125
Bulgaria,2026,102776346960.9375
Bulgaria,2027,107907161700.3125
Bulgaria,2028,113230555458.0625
Bulgaria,2029,118750576267.3125
Bulgaria,2030,124471283307.0625
Burkina Faso,2021,19624225433.75
Burkina Faso,2022,20838168777.625
Burkina Faso,2023,22106085855.4375
Burkina Faso,2024,23429234321.59375
Burkina Faso,2025,24808875327.5
Burkina Faso,2026,26246273524.5625
Burkina Faso,2027,27742697065.9375
Burkina Faso,2028,29299417612.71875
Burkina Faso,2029,30917710333.34375
Burkina Faso,2030,32598853911.34375
Burundi,2021,4033402042.9296875
Burundi,2022,4303300185.9921875
Burundi,2023,4587903276.5
Burundi,2024,4887621915.71875
Burundi,2025,5202867858.5625
Burundi,2026,5534054015.0703125
Burundi,2027,5881594451.453125
Burundi,2028,6245904390.9921875
Burundi,2029,6627400215.3125
Burundi,2030,7026499466.0390625
Cabo Verde,2021,2376869660.947998
Cabo Verde,2022,2472425843.5307617
Cabo Verde,2023,2569745416.4902344
Cabo Verde,2024,2668823027.3269043
Cabo Verde,2025,2769653300.1835938
Cabo Verde,2026,2872230835.831543
Cabo Verde,2027,2976550211.614502
Cabo Verde,2028,3082605981.4648438
Cabo Verde,2029,3190392675.834717
Cabo Verde,2030,3299904801.70459
Cambodia,2021,28485190063.0625
Cambodia,2022,30548187873.375
Cambodia,2023,32715197659.25
Cambodia,2024,34988859042.75
Cambodia,2025,37371819025.125
Cambodia,2026,39866731988.875
Cambodia,2027,42476259708.9375
Cambodia,2028,45203071360.5625
Cambodia,2029,48049843521.375
Cambodia,2030,51019260183.5625
Cameroon,2021,44975862193.1875
Cameroon,2022,47265029408.46875
Cameroon,2023,49647969737.53125
Cameroon,2024,52126893988.53125
Cameroon,2025,54704019122.5625
Cameroon,2026,57381568255.75
Cameroon,2027,60161770669.65625
Cameroon,2028,63046861812.21875
Cameroon,2029,66039083306.59375
Cameroon,2030,69140682958.28125
Canada,2021,2116516212341.5
Canada,2022,2185889745259.0
Canada,2023,2256311280368.5
Canada,2024,2327775363815.25
Canada,2025,2400276521163.25
Canada,2026,2473809257365.25
Canada,2027,2548368056744.75
Canada,2028,2623947382979.0
Canada,2029,2700541679064.75
Canada,2030,2778145367313.0
Central African Republic,2021,2381451146.236328
Central African Republic,2022,2444456592.899414
Central African Republic,2023,2508848999.044922
Central African Republic,2024,2574659044.054199
Central African Republic,2025,2641917492.3618164
Central African Republic,2026,2710655193.5561523
Central African Republic,2027,2780903082.4780273
Central African Republic,2028,2852692179.2387695
Central African Republic,2029,2926053589.4101562
Central African Republic,2030,3001018504.008789
Chad,2021,16752637567.140625
Chad,2022,17695772541.171875
Chad,2023,18674181253.0625
Chad,2024,19688527379.515625
Chad,2025,20739476412.390625
Chad,2026,21827695661.703125
Chad,2027,22953854256.53125
Chad,2028,24118623147.390625
Chad,2029,25322675107.109375
Chad,2030,26566684733.78125
Chile,2021,377839663239.5
Chile,2022,399336600783.0
Chile,2023,421677761091.75
Chile,2024,444880469963.0
Chile,2025,468962100942.75
Chile,2026,493940075339.0
Chile,2027,519831862301.0
Chile,2028,546654978837.0
Chile,2029,574426989886.5
Chile,2030,603165508352.25
China,2021,17838122317664.0
China,2022,19293212288448.0
China,2023,20823051850752.0
China,2024,22429513704160.0
China,2025,24114475775456.0
China,2026,25879821230592.0
China,2027,27727438470848.0
China,2028,29659221144704.0
China,2029,31677068148640.0
China,2030,33782883635552.0
Colombia,2021,457520206477.75
Colombia,2022,481938444285.5
Colombia,2023,507246902589.5
Colombia,2024,533462565093.75
Colombia,2025,560602462037.25
Colombia,2026,588683670228.75
Colombia,2027,617723313079.0
Colombia,2028,647738560677.25
Colombia,2029,678746629799.0
Colombia,2030,710764783977.0
