Country,Year,High Tech Exports(% of total),High Tech Exports(total),Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Health Care Index,Continent,Third World,Least Developed Country
Afghanistan,2009.0,0.027080653,103516.58181818202,3.1240000000000236,4.275636363636295,3.017454545454598,4.461727272727273,8.730454545454563,215.17763636363816,0.08472727272727187,1.25,6.009999999999991,0.09999999999990905,21.77999999999986,46.01999999999953,0.3707142857128929,0,1,1
Afghanistan,2010.0,0.002681273,58189.0,3.0565454545454713,3.8796363636363367,2.77054545454547,4.612909090909056,8.32363636363641,195.05745454545104,0.08872727272727321,3.3400000000001455,5.830000000000041,1.699999999999818,21.37999999999988,44.399999999999636,4.5185714285707945,0,1,1
Afghanistan,2011.0,0.005507629,112596.0,7.29,7.01,5.09,14.27,19.64,364.6,0.27,5.430000000000291,5.650000000000034,3.300000000000182,20.979999999999905,42.779999999999745,2.2317857142861612,0,1,1
Afghanistan,2012.0,0.002334602,71225.83636363596,8.93,6.24,5.24,16.03,19.1,295.08,0.34,7.520000000000437,5.470000000000027,4.900000000000091,20.579999999999927,41.159999999999854,0.5035714285713766,0,1,1
Afghanistan,2013.0,0.000580959,27939.0,2.854181818181843,2.6916363636363485,2.0298181818182,5.066454545454519,7.103181818181838,134.6969090909115,0.10072727272727189,9.610000000000582,5.2900000000000205,6.5,20.17999999999995,39.53999999999951,3.528214285712238,0,1,1
Afghanistan,2014.0,0.029877141,33371.0,2.7867272727272905,2.2956363636362767,1.7829090909091292,5.217636363636359,6.696363636363685,114.57672727272438,0.10472727272727322,11.699999999999818,5.110000000000014,8.099999999999909,19.77999999999986,37.91999999999962,9.142857142855064,0,1,1
Afghanistan,2015.0,0.114088195,38935.09090908989,2.719272727272738,1.8996363636363185,1.5360000000000582,5.368818181818142,6.289545454545419,94.45654545454454,0.10872727272727278,13.789999999999964,4.930000000000007,9.699999999999818,19.37999999999988,36.29999999999973,23.94,0,1,1
Afghanistan,2016.0,0.001132908,28171.50909090787,2.651818181818186,1.5036363636363603,1.2890909090909304,5.519999999999982,5.882727272727266,74.3363636363647,0.11272727272727234,15.88000000000011,4.75,11.300000000000182,18.979999999999905,34.679999999999836,5.405714285716385,0,1,1
Afghanistan,2017.0,8.17e-05,9.999999999,2.584363636363662,1.1076363636362885,1.0421818181818594,5.671181818181822,5.475909090909113,54.216181818177574,0.1167272727272719,17.970000000000255,4.569999999999993,12.900000000000091,18.579999999999927,33.05999999999949,10.641428571430879,0,1,1
Afghanistan,2018.0,0.044701906,6270.0,2.5169090909091096,0.7116363636363303,0.7952727272727884,5.822363636363605,5.06909090909096,34.09599999999773,0.12072727272727324,20.0600000000004,4.389999999999986,14.5,18.17999999999995,31.4399999999996,15.223142857143102,0,1,1
Afghanistan,2019.0,0.002503856,122141.0,2.4494545454545573,0.31563636363637215,0.5483636363636606,5.9735454545454445,4.662272727272693,13.975818181817885,0.1247272727272728,22.150000000000546,4.210000000000036,16.09999999999991,17.77999999999986,29.81999999999971,21.112857142858047,0,1,1
Afghanistan,2020.0,0.021893543412147665,64217.0,2.382000000000005,0.0,0.3014545454545896,6.1247272727272275,4.2554545454545405,0.0,0.12872727272727236,24.24,4.03,17.7,17.38,28.2,8.673999999999978,0,1,1
Afghanistan,2021.0,0.10542377135709557,1544040.2878785133,12.95,3.29,3.85,30.42,25.97,158.02,0.63,26.33,3.85,19.3,16.98,26.58,28.29,0,1,1
Albania,2009.0,1.328193373,10128935.0,16.517121212121253,2.195151515151508,4.816363636363633,44.261515151515596,21.089848484848517,161.00848484848484,0.6318181818181827,29.14106060606059,6.211060606060585,24.956060606060646,23.156515151515123,16.283787878787734,43.971309523809396,1,0,0
Albania,2010.0,1.464517198,14074208.0,15.38,2.51,4.96,39.82,20.16,121.84,0.82,60.48,13.2,51.28,52.31,27.41,42.21821428571411,1,0,0
Albania,2011.0,1.016872891,11890517.0,20.08,1.84,4.75,54.24,21.07,194.15,0.52,30.86560606060607,6.614067599067596,26.019836829836777,24.26553613053602,19.88364801864782,40.46511904761883,1,0,0
Albania,2012.0,0.926806811,10059840.0,15.34,2.48,3.95,40.3,25.3,155.37,0.64,31.727878787878808,6.8155710955711015,26.55172494172507,24.820046620046696,21.683578088578088,38.712023809523544,1,0,0
Albania,2013.0,0.890238032,10843586.0,15.04,3.27,5.64,30.56,17.73,145.38,0.69,48.64,10.84,40.23,31.83,35.28,36.958928571428714,1,0,0
Albania,2014.0,0.257234811,1960836.0,14.76,3.78,5.37,26.43,18.62,146.24,0.68,48.96,10.94,41.37,35.25,33.27,61.44,1,0,0
Albania,2015.0,1.634190385,16607486.0,14.58,3.5,5.33,28.59,18.78,138.43,0.72,41.95,8.55,34.1,33.21,34.79,67.41,1,0,0
