Year,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Traffic Commute Time Index,Pollution Index,Climate Index
2020,Chile,119.76,42.50,54.77,35.44,65.78,90.21
2020,Mexico,118.55,41.81,46.03,39.39,66.10,86.29
2020,Malaysia,118.44,64.49,41.16,37.03,63.18,57.92
2020,Serbia,116.30,36.72,62.59,30.43,60.32,83.23
2020,Georgia,115.95,24.88,79.79,36.02,71.09,84.20
2020,Kuwait,115.75,85.59,65.25,34.44,68.69,20.22
2020,Argentina,115.31,47.22,38.23,43.08,50.67,98.28
2020,Jordan,112.40,34.88,59.17,42.03,77.78,89.05
2020,North Macedonia,110.46,37.15,61.33,27.61,80.23,76.30
2020,India,108.63,54.30,56.68,46.99,78.87,64.87
2020,Panama,108.36,34.23,52.81,36.48,63.09,67.84
2020,Lebanon,106.56,44.47,56.64,37.38,88.37,94.74
2020,Colombia,105.83,31.12,45.21,47.49,62.83,96.69
2020,Brazil,105.65,32.81,31.12,41.70,54.98,97.16
2020,Morocco,105.46,35.25,51.31,36.89,70.64,91.70
2020,Pakistan,105.44,30.57,55.92,38.56,74.25,71.93
2020,Ukraine,104.77,31.80,51.15,38.65,65.08,71.42
2020,China,102.81,60.88,68.17,41.81,80.77,79.19
2020,Russia,102.31,38.94,58.88,45.30,62.79,40.36
2020,Thailand,101.88,35.45,59.52,38.23,75.07,69.45
2020,Hong Kong,99.05,65.32,79.30,41.46,67.69,83.64
2020,Indonesia,97.47,25.05,54.16,43.11,66.56,74.15
2020,Kazakhstan,88.31,38.36,37.98,31.08,75.15,39.78
2020,Vietnam,87.48,28.14,54.65,30.17,86.47,71.24
2020,Egypt,86.54,22.41,53.08,49.78,85.65,91.98
2020,Peru,85.46,33.95,31.85,48.33,84.13,97.69
2020,Philippines,85.37,23.48,57.84,44.63,74.28,60.81
2020,Sri Lanka,85.16,24.45,59.78,59.01,59.14,59.11
2020,Iran,74.14,22.69,50.75,48.01,77.45,70.99
2020,Kenya,70.56,27.32,38.34,56.65,76.60,99.79
2020,Bangladesh,70.03,33.21,36.06,56.73,86.21,71.29
2021,Switzerland,190.82,110.96,78.65,28.73,20.09,80.05
2021,Denmark,190.01,94.73,73.28,28.69,20.40,81.80
2021,Netherlands,183.31,83.89,72.78,27.81,25.28,87.11
2021,Finland,182.79,89.05,72.99,28.96,11.86,56.64
2021,Austria,182.37,78.23,74.77,25.68,19.20,77.79
2021,Australia,181.52,99.29,57.56,35.04,23.48,92.70
2021,Iceland,179.10,71.88,75.87,19.98,16.24,68.81
2021,Germany,176.76,93.72,64.58,31.36,27.48,82.97
2021,New Zealand,175.77,81.44,57.74,30.70,23.81,96.35
2021,Norway,173.57,79.43,66.65,26.87,18.14,68.68
2021,Estonia,173.56,61.22,76.62,24.72,19.01,64.28
2021,Oman,172.08,84.45,79.74,23.02,37.59,67.22
2021,Sweden,171.40,90.55,52.80,29.89,18.44,74.92
2021,Slovenia,168.20,56.14,78.21,26.79,22.65,77.56
2021,United States,166.98,102.58,52.26,32.89,38.89,77.28
2021,Spain,164.48,62.68,66.87,29.38,39.62,93.18
2021,Japan,162.32,76.53,78.05,39.85,39.40,85.27
2021,Portugal,161.91,44.96,70.11,29.64,29.57,97.72
2021,Lithuania,160.02,54.60,66.16,25.67,27.01,69.86
2021,Canada,159.99,82.76,58.81,33.72,28.13,56.75
2021,United Kingdom,158.99,82.56,54.74,34.44,40.25,88.04
2021,Czech Republic,156.33,56.40,74.69,29.72,36.30,77.13
2021,Croatia,156.10,43.13,75.09,28.13,30.58,89.69
2021,United Arab Emirates,156.03,85.74,84.65,36.31,50.44,45.23
2021,Qatar,154.58,93.12,87.71,30.45,60.18,36.03
2021,Belgium,150.89,76.54,55.83,36.24,50.27,86.03
2021,Ireland,150.89,73.84,54.98,37.70,33.59,89.13
2021,France,150.73,74.06,50.80,34.53,41.79,89.94
2021,Slovakia,149.68,50.39,70.26,27.81,39.08,78.13
2021,Latvia,147.59,45.94,62.79,31.16,33.91,74.70
2021,Saudi Arabia,147.37,88.18,74.07,28.45,64.13,45.98
2021,Israel,144.14,70.36,68.79,35.76,58.42,93.78
2021,Cyprus,144.06,52.34,68.03,23.44,56.77,93.34
2021,Singapore,143.82,83.62,67.02,41.19,33.16,57.45
2021,Taiwan,138.82,56.08,84.76,31.28,62.92,81.60
2021,Italy,138.63,58.70,55.63,34.17,53.93,91.48
2021,Hungary,134.01,49.81,65.19,35.81,47.81,79.48
2021,Poland,132.65,47.09,70.68,31.34,54.33,75.90
2021,South Africa,132.19,72.92,22.93,39.30,56.96,95.25
2021,Romania,131.71,45.19,71.65,34.13,58.42,77.69
2021,Puerto Rico,130.77,69.22,36.65,34.16,50.45,71.25
2021,South Korea,130.02,76.60,73.14,39.88,61.85,68.39
2021,Greece,129.86,38.95,55.86,33.94,51.95,94.18
2021,Bulgaria,126.34,40.26,61.88,29.39,64.48,82.76
2021,Turkey,125.97,35.35,60.47,44.64,66.15,93.26
2021,Bosnia And Herzegovina,125.71,42.56,56.99,25.89,60.71,80.48
2021,Uruguay,124.63,30.62,48.78,37.74,45.67,98.04
2021,Costa Rica,121.65,39.01,44.66,60.19,44.07,99.48
2021,Mexico,120.29,35.54,45.00,39.02,61.24,86.63
2021,Georgia,118.87,25.67,77.38,35.40,69.70,88.53
2021,Ecuador,118.76,30.54,45.59,39.57,58.34,94.51
2021,Malaysia,116.94,56.10,42.11,37.00,62.58,59.11
2021,Serbia,116.24,35.83,61.74,31.10,61.20,83.23
2021,Jordan,114.04,33.13,59.27,41.41,76.09,89.05
2021,Kuwait,113.98,75.32,65.96,33.72,66.72,20.22
2021,Argentina,110.50,34.56,36.69,43.16,50.73,98.28
2021,Panama,110.32,32.05,54.15,37.55,59.77,67.84
2021,North Macedonia,108.47,31.97,61.41,27.22,80.03,76.30
2021,Ukraine,107.35,30.10,51.72,37.90,64.31,70.77
2021,Belarus,107.35,31.96,39.73,30.05,44.47,64.37
2021,Pakistan,105.14,27.28,56.14,37.80,73.36,73.63
2021,Brazil,104.75,28.66,32.15,41.71,54.53,92.39
2021,India,104.52,47.13,55.28,46.66,79.62,65.30
2021,Morocco,104.42,32.17,50.90,36.30,70.38,90.04
2021,China,103.15,57.47,69.83,40.89,81.47,80.15
2021,Azerbaijan,102.88,25.77,68.34,39.41,75.44,91.40
2021,Russia,101.67,34.61,59.87,44.60,62.32,38.46
2021,Colombia,101.33,26.13,44.23,47.34,62.88,88.30
2021,Thailand,100.29,31.36,60.62,39.19,75.39,69.45
2021,Chile,99.90,33.33,47.92,35.56,78.96,90.21
2021,Hong Kong,99.34,62.45,78.27,42.28,67.30,83.64
2021,Kazakhstan,96.42,34.92,45.98,33.64,72.62,39.78
2021,Lebanon,94.47,29.49,53.04,39.06,89.35,94.74
2021,Indonesia,90.10,20.89,53.77,43.40,67.08,68.48
2021,Vietnam,88.38,27.26,53.91,29.61,85.92,71.09
2021,Egypt,86.31,19.99,53.21,49.08,84.35,91.98
2021,Peru,83.30,28.81,33.39,48.81,82.69,97.69
2021,Sri Lanka,79.78,20.77,58.81,57.20,59.92,59.11
2021,Philippines,78.39,19.71,57.84,44.04,74.06,61.03
2021,Kenya,75.77,27.67,38.60,57.39,75.88,99.79
2021,Bangladesh,65.27,24.07,35.78,58.53,84.91,72.91
2021,Iran,64.73,19.00,50.81,47.43,76.13,70.99
